0,1,2
,CLASS,Primary/Basic 1
,SUBJECT,Christian Religious Studies
,TERM,Second Term
WEEK,TOPICS,Learning Objectives
1,Things we must do as children of God,"By the end of the lesson, pupils should be able to: i) explain who a father is ii) enumerate some ways we show our thanks to God, our father iii) explain why they should thank God for what God has done for them"
2,Things we must do as children of,"By the end of the lesson, pupils should be able to: (i) narrate the story of the ten lepers (ii) highlight the significant of the story of ten lepers; (iii) sing songs of thanksgiving"
3,Things we must do as children of God,"By the end of the lesson, pupils should be able to: (i) Define praise,Egypt (ii) Sing a song of praise (iii) Recite 103:1-2"
4,Things we must do as children og God,By the end of the lesson should be able to: (i) discuss whywe should (ii) Mention some people in the Bible who sang praises to God; (iii) Give reasons for praising God.
5,Things we must do as children of God,"By the end of the lesson, pupils should be able to: (1) define prayer; (ii) demonstrate how to pray (e.g kneeling, standing closing of eye); (iii) explain why we should always pray to God."
6,Thing we must do as children of God,"By the end of the lesson, pupils should be able to: (i) give examples ofpersonal prayers; (i) recite the Lord ‘s prayer, (iii) list theimportance of prayer (iv) mention types of prayer,"
7,MID-TERM BREAK,MID-TERM BREAK
8,Discovering God through Jesus,"By the end of the lesson, pupils should be able to: (i) define the word “Obey” (ii) explain how Jesus taught us to obey God (iii) list the benefits of obedience"
9,Discovering God through Jesus,"By the end of the lesson, pupils should be able to: 1) explain who God is 2) narrate how Jesus taught about God in the gospel 3) list some moral lesson in Jesus teaching about"
10,REVISION,REVISION
11-12,EXAMINATION,EXAMINATION
