0,1,2
,CLASS,Primary/Basic 1
,SUBJECT,Physical and Health Education
,TERM,Second Term
WEEK,TOPICS,Learning Objectives
1,Reading test/revision of last term work,
2,Games -Local games,"By the end of the lesson, pupils should be able to; i. demonstrate the skills in local games; ii. perform some local games such as: -Fire on the mountain -Who is in the garden iii. Perform some basic skills in ball games e.g kicking."
3,Games Basic skills in Ball Games,"By the end of the lesson pupils should be able to: i. identify the basic skills in football (Soccer), ii. demonstrate the basic skill in ball games, iii. perform kicking in football perfectly, – iv. safety rules in ball games."
4,Safety rules in Footbal games,"At the end of the lesson pupils should be able to; i. explain the safety rules in ball games ii. state the safety rules in ball games, iii. explain why safety rules are necessary in ball games."
5,Safety rules in football games,"By the end of the lesson pupils should be able to: i. explain the safety rules in ball games, ii. state the safety rules in ball games, iii. explain why safety rules are necessary in ball games."
6,Swimming(Aquatics),"By the end of the lesson pupils should be able to: i. explain the meaning of swimming (Aquatics), ii. state the skills of swimming (Aquatics), iii. demonstrate the coming In and out of water; iv. perform face float and turtle float."
7,REVIEW OF FIRST HALF TERM WORK AND ASSESSMENT,REVIEW OF FIRST HALF TERM WORK AND ASSESSMENT
8,Safety rules in swimming,"By end of the lesson, pupils should be able to: i. explain the safety rules in swimming ii. the safety rules of swimming iii. mention the benefits of swimming"
9,REVISION,
10,REVISION,
11,REVISION,REVISION
12,EXAMINATION,EXAMINATION
