0,1,2
,CLASS,Primary/Basic 2
,SUBJECT,Security Education
,TERM,Third Term
WEEK,TOPICS,Learning Objectives
1,Revision of Last Term’s Work,
2,Duties of Security Agencies: Police,"By the end of this lesson, pupils should be able to: i. explain the duties of the Nigerian Police"
3,Duties of Security Agencies: FRSC and LASTMA,"By the end of this lesson, pupils should be able to: i. outline the duties of FRSC and LASTMA respectively."
4,"Drug abuse , meaning and types",pupils should be able to: I. Explain the meaning of drugs abuse. 2. Mention types of drug abuse 3. List examples of drugs that can be abused
5,"Duties of the Nigeria armed forces: Army, Navy and Air force","By the end of this lesson pupils should be able to: i. differentiate between the duties of the Army, Navy and Air force"
6,Duties of the Nigerian Prison Service,"By the end or this lesson pupils should be able to: i. highlight the duties of the Nigerian Prison Service,"
7,MID-TERM BREAK,MID-TERM BREAK
8,Duties of the Nigerian Security and Civil Defence corps (NSCDC),"Bythe end ofthis lesson, people should be able to: i. Outline the duties of the Nigerian Security and Civil Defense corps (NSCDC)"
9,Duties of Security Agencies – Independent Currupt Practice Commission,Pupils should be able to: i. enumerate the duties of Independent Currupt Practice Commission
10,Duties of security agencies: other security agents e.g KIA(Kick Against Indiscipline),"By the end ofthis lesson, people should be able to i. identify the duties of other agents such as KIA(Kick Against Indiscipline)"
11,Revision,Revision
12,EXAMINATION,EXAMINATION
