0,1,2
,CLASS,Primary/Basic 5
,SUBJECT,Physical and Health Education
,TERM,Second Term
WEEK,TOPICS,Learning Objectives
1,REDDINESS TEST/REVISION OF FIRST TERM’S WORK,REDDINESS TEST/REVISION OF FIRST TERM’S WORK
2,Hockey Game,"By the end of the lesson, Pupils should be able to i. narrate the history of hockey ii. compare between facilities and equipment in hockey and other ball games iii. demonstate basic skills in hockey ball games iv. investigate the advantages in playing hockey games v. recommend the safety measures in playing hockey games"
3,Table Tennis Game,"By the end of the lesson, pupils should be able to; i. discuss brief history of Table Tennis ii. cartegorize types of facilities and equipment in Table Tennis iii. design a Table Tennis board. iv. demonstrates basic skills and teåniques of Table Tennis game"
4,Maintenance of sports facilities and equipment,"By the end of the lesson, Pupils should be able to i. differentiates between sports facilities and equipment ii. list sports facilities and equipment iii. investigate reasons for keeping sports facilities and equipment"
5,Physical Fitness,"By the end of the lesson, pupils should be able to: i. discuss the concept of physical Fitness ii. list the components of Physical fitness. iii. differentiate between health and performance related physical components"
6,Physical Fitness,"By the end of fre lesson, Pupils should beableto: i. demostrate physical fitness enhancement activities e.g. sit and read), squat jump, frog jump, bench dip, V-Stt elbow balance ii. identify stress enhancement iii. investigate the benefits of sress enhancemmt activities such as: power, agility, flexibility and balance"
7,MID TERM BREAK,MID TERM BREAK
8,Gymnastics,"By the end of he lesson, Pupils should be able to: i. disccus definition of gymnastics. ii. identify types of gymnastics activities e.g. agility/floor acivities, stunts etc. iii. execute gymnastics activities"
9,Gymnastics activities with aparatus,"By the end of the lesson, Pupils should be able to i. desribe gymnastic activities with aparatus ii. demonstrate gymnastic activities with aparatus iii. execute gymnastic activities with aparatus e.g walking on beam, rope climbing"
10,Recreation,"By the end of the lesson, Pupils should be able to i. discuss definition of recreation ii. identify the two components of recreation iii. analyze between indoor nad outdoor recreation iv. tabulate indoor and outdoor recreation"
11,Introduction to Direction (four cadnal points),"By the end of the lesson, Pupils should be able to: i. descriabe four cardinal point ii- desgn cardinal point iii. give significance of four cardinal points"
12,REVISION,REVISION
13,EXAMINATION,EXAMINATION
