0,1,2
"LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEME OF WORK FOR PRIMARY SCHOOLSSecurity Education Scheme of Work for Primary/Basic 6 CLASSPrimary/Basic 6 SUBJECTSecurity Education TERMFirst TermWEEKTOPICSLearning Objectives1Personal SecurityBy the end of the lesson, pupils should be able to: i. Define personal security ii. Identify adults they can reach out to in times of problems iii, Tell why we need personal security2Types of personal SecurityBy the end of the lesson, pupils should be able to: i. Mention the types of security ii .Explain the types of security iii. Classify the categories of security3Importance of Personal SecurityBy the end of the lesson, pupils should be able to: i. Describe the importance of Personal Security ii. Justify the importance of Personal Security4Precautionary measures on personal securityBy the end of the lesson, pupils should be able to: i. List the precautionary measures on personal security ii. Discuss the precautionary measures on personal security iii. Analyze precautionary measures such as technology devices( camera) iv. Formulate security policies5Personnel to contact during emergencyBy the end of the lesson, pupils should be able to: i. Mention the security agents to contact during emergency ii, Give examples of some personnel security to contact during emergency iii. explain the work of the security personnel6Emergency phone numbersBy the end of the lesson, pupils should be able to: i. Mention important security numbers ii. Describe the appropriate personnel to contact during emergency7MID TERM BREAK 8Acting properly in the face of dangerBy the end of the lesson, pupils should be able to 1. explain the meaning of danger 2. illustrate what to do in the face of danger 3. act properly in the face of danger 4. improve on fighting danger9Revision 10Revision 11Revision 12Revision/Examination","LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEME OF WORK FOR PRIMARY SCHOOLSSecurity Education Scheme of Work for Primary/Basic 6 CLASSPrimary/Basic 6 SUBJECTSecurity Education TERMFirst TermWEEKTOPICSLearning Objectives1Personal SecurityBy the end of the lesson, pupils should be able to: i. Define personal security ii. Identify adults they can reach out to in times of problems iii, Tell why we need personal security2Types of personal SecurityBy the end of the lesson, pupils should be able to: i. Mention the types of security ii .Explain the types of security iii. Classify the categories of security3Importance of Personal SecurityBy the end of the lesson, pupils should be able to: i. Describe the importance of Personal Security ii. Justify the importance of Personal Security4Precautionary measures on personal securityBy the end of the lesson, pupils should be able to: i. List the precautionary measures on personal security ii. Discuss the precautionary measures on personal security iii. Analyze precautionary measures such as technology devices( camera) iv. Formulate security policies5Personnel to contact during emergencyBy the end of the lesson, pupils should be able to: i. Mention the security agents to contact during emergency ii, Give examples of some personnel security to contact during emergency iii. explain the work of the security personnel6Emergency phone numbersBy the end of the lesson, pupils should be able to: i. Mention important security numbers ii. Describe the appropriate personnel to contact during emergency7MID TERM BREAK 8Acting properly in the face of dangerBy the end of the lesson, pupils should be able to 1. explain the meaning of danger 2. illustrate what to do in the face of danger 3. act properly in the face of danger 4. improve on fighting danger9Revision 10Revision 11Revision 12Revision/Examination","LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEME OF WORK FOR PRIMARY SCHOOLSSecurity Education Scheme of Work for Primary/Basic 6 CLASSPrimary/Basic 6 SUBJECTSecurity Education TERMFirst TermWEEKTOPICSLearning Objectives1Personal SecurityBy the end of the lesson, pupils should be able to: i. Define personal security ii. Identify adults they can reach out to in times of problems iii, Tell why we need personal security2Types of personal SecurityBy the end of the lesson, pupils should be able to: i. Mention the types of security ii .Explain the types of security iii. Classify the categories of security3Importance of Personal SecurityBy the end of the lesson, pupils should be able to: i. Describe the importance of Personal Security ii. Justify the importance of Personal Security4Precautionary measures on personal securityBy the end of the lesson, pupils should be able to: i. List the precautionary measures on personal security ii. Discuss the precautionary measures on personal security iii. Analyze precautionary measures such as technology devices( camera) iv. Formulate security policies5Personnel to contact during emergencyBy the end of the lesson, pupils should be able to: i. Mention the security agents to contact during emergency ii, Give examples of some personnel security to contact during emergency iii. explain the work of the security personnel6Emergency phone numbersBy the end of the lesson, pupils should be able to: i. Mention important security numbers ii. Describe the appropriate personnel to contact during emergency7MID TERM BREAK 8Acting properly in the face of dangerBy the end of the lesson, pupils should be able to 1. explain the meaning of danger 2. illustrate what to do in the face of danger 3. act properly in the face of danger 4. improve on fighting danger9Revision 10Revision 11Revision 12Revision/Examination"
LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEME OF WORK FOR PRIMARY SCHOOLS,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEME OF WORK FOR PRIMARY SCHOOLS,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEME OF WORK FOR PRIMARY SCHOOLS
Security Education Scheme of Work for Primary/Basic 6,Security Education Scheme of Work for Primary/Basic 6,Security Education Scheme of Work for Primary/Basic 6
,CLASS,Primary/Basic 6
,SUBJECT,Security Education
,TERM,First Term
WEEK,TOPICS,Learning Objectives
1,Personal Security,"By the end of the lesson, pupils should be able to: i. Define personal security ii. Identify adults they can reach out to in times of problems iii, Tell why we need personal security"
2,Types of personal Security,"By the end of the lesson, pupils should be able to: i. Mention the types of security ii .Explain the types of security iii. Classify the categories of security"
3,Importance of Personal Security,"By the end of the lesson, pupils should be able to: i. Describe the importance of Personal Security ii. Justify the importance of Personal Security"
