0,1,2
"LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLSSocial Studies Scheme of Work for Primary/Basic 4 CLASSPrimary/Basic 4 SUBJECTSocial Studies TERMFirst TermWEEKTOPICSLearning Objectives1Living in the familyBy the end of the should be able to: 1. Explain meaning and types of family (Nuclear and Extended) 2. Identify the members of the Nuclear and Extended family 3. Identify the member of nuclear and extended family 4. Mention the importance of the famil2Relationship of some member of the familyBy the end of the lesson pupils should be able to: 1. Draw the family tree 2. Identify how relate to one another e.g. Family tree 3. Itemize the benefit of the family e.g. Care and interest for one another3MarriageBy the end of the lesson, pupils should be able to: 1. Define the meaning of marriage 2. Explain the types of marriage e.g. Monogamy and Polygamy marriage 3. Mention marriage festival in Nigeria and give differences from one to the other4Marriage problems and solutionBy the end of the lesson pupils should be able to: 1. Identify the problems in marriage 2. Provide solution to the problems of marriage5Our culture -Element of cultureBy the end of the lesson pupils should be able to: 1 Explain the meaning and types of culture 2. List the element of culture 3. What are the different kinds of culture in Nigeria (Hausa, Igbo and Yoruba)6CultureBy the end of the lesson pupils should be able to: 1. Identify the different culture e.g. different dialects, difference in geographical position 2. Mention the difference in external influences 3. List the similarities in cultures e.g. Food, Dressing, Ceremony, Greetin s etc.7MID TERM BREAK 8CultureBy the end of the lesson pupils should be able to: 1. List outways of cultural presentation e.g. Symbol, Building Dressing and Festival 2. Pin-point and state reasons for discarding some culture e.g. ritual 3. Identify the culture to be retained e.g. respect to elders.9Our religion and practiceBy the end of the lesson pupils should be able to: 1, Explain meaning and types of religion. 2. Identify the mode and materials used to worship in different religion practice e.g. Holy Bible, Holy Quran, candle etc.10Similarities in aspect of religionBy the end of the lesson pupils should be able to: 1. List the similarities of each religion e.g. we all pray to God through different means, style of dressing etc. 2. Describe the aspect of religion in Nigeria 3. Display how each religion pray11RevisionRevision12-13REVISION & EXAMINATION","LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLSSocial Studies Scheme of Work for Primary/Basic 4 CLASSPrimary/Basic 4 SUBJECTSocial Studies TERMFirst TermWEEKTOPICSLearning Objectives1Living in the familyBy the end of the should be able to: 1. Explain meaning and types of family (Nuclear and Extended) 2. Identify the members of the Nuclear and Extended family 3. Identify the member of nuclear and extended family 4. Mention the importance of the famil2Relationship of some member of the familyBy the end of the lesson pupils should be able to: 1. Draw the family tree 2. Identify how relate to one another e.g. Family tree 3. Itemize the benefit of the family e.g. Care and interest for one another3MarriageBy the end of the lesson, pupils should be able to: 1. Define the meaning of marriage 2. Explain the types of marriage e.g. Monogamy and Polygamy marriage 3. Mention marriage festival in Nigeria and give differences from one to the other4Marriage problems and solutionBy the end of the lesson pupils should be able to: 1. Identify the problems in marriage 2. Provide solution to the problems of marriage5Our culture -Element of cultureBy the end of the lesson pupils should be able to: 1 Explain the meaning and types of culture 2. List the element of culture 3. What are the different kinds of culture in Nigeria (Hausa, Igbo and Yoruba)6CultureBy the end of the lesson pupils should be able to: 1. Identify the different culture e.g. different dialects, difference in geographical position 2. Mention the difference in external influences 3. List the similarities in cultures e.g. Food, Dressing, Ceremony, Greetin s etc.7MID TERM BREAK 8CultureBy the end of the lesson pupils should be able to: 1. List outways of cultural presentation e.g. Symbol, Building Dressing and Festival 2. Pin-point and state reasons for discarding some culture e.g. ritual 3. Identify the culture to be retained e.g. respect to elders.9Our religion and practiceBy the end of the lesson pupils should be able to: 1, Explain meaning and types of religion. 2. Identify the mode and materials used to worship in different religion practice e.g. Holy Bible, Holy Quran, candle etc.10Similarities in aspect of religionBy the end of the lesson pupils should be able to: 1. List the similarities of each religion e.g. we all pray to God through different means, style of dressing etc. 2. Describe the aspect of religion in Nigeria 3. Display how each religion pray11RevisionRevision12-13REVISION & EXAMINATION","LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLSSocial Studies Scheme of Work for Primary/Basic 4 CLASSPrimary/Basic 4 SUBJECTSocial Studies TERMFirst TermWEEKTOPICSLearning Objectives1Living in the familyBy the end of the should be able to: 1. Explain meaning and types of family (Nuclear and Extended) 2. Identify the members of the Nuclear and Extended family 3. Identify the member of nuclear and extended family 4. Mention the importance of the famil2Relationship of some member of the familyBy the end of the lesson pupils should be able to: 1. Draw the family tree 2. Identify how relate to one another e.g. Family tree 3. Itemize the benefit of the family e.g. Care and interest for one another3MarriageBy the end of the lesson, pupils should be able to: 1. Define the meaning of marriage 2. Explain the types of marriage e.g. Monogamy and Polygamy marriage 3. Mention marriage festival in Nigeria and give differences from one to the other4Marriage problems and solutionBy the end of the lesson pupils should be able to: 1. Identify the problems in marriage 2. Provide solution to the problems of marriage5Our culture -Element of cultureBy the end of the lesson pupils should be able to: 1 Explain the meaning and types of culture 2. List the element of culture 3. What are the different kinds of culture in Nigeria (Hausa, Igbo and Yoruba)6CultureBy the end of the lesson pupils should be able to: 1. Identify the different culture e.g. different dialects, difference in geographical position 2. Mention the difference in external influences 3. List the similarities in cultures e.g. Food, Dressing, Ceremony, Greetin s etc.7MID TERM BREAK 8CultureBy the end of the lesson pupils should be able to: 1. List outways of cultural presentation e.g. Symbol, Building Dressing and Festival 2. Pin-point and state reasons for discarding some culture e.g. ritual 3. Identify the culture to be retained e.g. respect to elders.9Our religion and practiceBy the end of the lesson pupils should be able to: 1, Explain meaning and types of religion. 2. Identify the mode and materials used to worship in different religion practice e.g. Holy Bible, Holy Quran, candle etc.10Similarities in aspect of religionBy the end of the lesson pupils should be able to: 1. List the similarities of each religion e.g. we all pray to God through different means, style of dressing etc. 2. Describe the aspect of religion in Nigeria 3. Display how each religion pray11RevisionRevision12-13REVISION & EXAMINATION"
LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS
Social Studies Scheme of Work for Primary/Basic 4,Social Studies Scheme of Work for Primary/Basic 4,Social Studies Scheme of Work for Primary/Basic 4
,CLASS,Primary/Basic 4
,SUBJECT,Social Studies
,TERM,First Term
WEEK,TOPICS,Learning Objectives
1,Living in the family,By the end of the should be able to: 1. Explain meaning and types of family (Nuclear and Extended) 2. Identify the members of the Nuclear and Extended family 3. Identify the member of nuclear and extended family 4. Mention the importance of the famil
2,Relationship of some member of the family,By the end of the lesson pupils should be able to: 1. Draw the family tree 2. Identify how relate to one another e.g. Family tree 3. Itemize the benefit of the family e.g. Care and interest for one another
3,Marriage,"By the end of the lesson, pupils should be able to: 1. Define the meaning of marriage 2. Explain the types of marriage e.g. Monogamy and Polygamy marriage 3. Mention marriage festival in Nigeria and give differences from one to the other"
4,Marriage problems and solution,By the end of the lesson pupils should be able to: 1. Identify the problems in marriage 2. Provide solution to the problems of marriage
5,Our culture -Element of culture,"By the end of the lesson pupils should be able to: 1 Explain the meaning and types of culture 2. List the element of culture 3. What are the different kinds of culture in Nigeria (Hausa, Igbo and Yoruba)"
6,Culture,"By the end of the lesson pupils should be able to: 1. Identify the different culture e.g. different dialects, difference in geographical position 2. Mention the difference in external influences 3. List the similarities in cultures e.g. Food, Dressing, Ceremony, Greetin s etc."
7,MID TERM BREAK,
