0,1,2
LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEME OF WORK FOR PRIMARY SCHOOLS,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEME OF WORK FOR PRIMARY SCHOOLS,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEME OF WORK FOR PRIMARY SCHOOLS
Basic Science and Technology Scheme of Work for Primary/Basic 6,Basic Science and Technology Scheme of Work for Primary/Basic 6,Basic Science and Technology Scheme of Work for Primary/Basic 6
,CLASS,Primary/Basic 6
,SUBJECT,Basic Science and Technology
,TERM,First Term
WEEK,TOPICS,Learning Objectives
1,Revision of previous year’s work and Readiness test,Revision of previous year’s work and Readiness test
2(Basic Science),LIVING AND NON-LIVING THINGS -Meaning and identification of living and non-living things -Characteristics of living things.,"By the end of the lesson, pupils be i. define living things and non-living things. ii. analyze the characteristics of living things. iii. Classify items in their environment as living or non-living things"
(PHE),Creatity Rhythemic,"By the end of the lesson, pupils should be able to: 1- explain rhyttmic activities 2- mention types of rhythemic activities (marching, galloping, hopping. singing, dancing) etc. 3. demonstrate rhythmic activities (marching, galloping, hopping, singing, dancing)"
(IT),Introduction to Artificial intelligent,"By fre end of the lesson, pupils should be able to: 1. Define artificial intelligent and identify the importance"
3(Basic Science),GROWING CROPS -Conditions for better crops. -Importance of fertilizers to the soil. -Components of fertilizer. -Growing crops with compost or fertilizer.,"By the end of he lesson, pupils be able to: 1. state the conditions for growing crops; 2. write dom the importance of fertilizers to the soil. 3. enumerate the components of fertilizer grow crops using compost or fertilizers."
(PHE),Creativity Rhythemic,"By the end of the lesson, pupils should be able to: 1. discuss meaning rhythmic acfrities 2. fist types of rhyürnic activities (marching, galloping, hopping, singing, dancing) etc. 3. demonstrate rhythemic activities (marching, galloping, hopping, singing, dancing)"
(IT),Introduction to Artificial Intelligent,"By the end of the lesson, pupils should be able to: 1. Define artificial intelligent and the importance"
4(Basic Science),THE CIRCULATORY SYSTEM -Meaning of circulatory -describe and state some basic functions of the heart; -draw a typical heart and label it.,"By the end of the lesson, pupils be able to: 1. explain the meaning of circulatory system; 2. name and identify the parts of the hurnan heart, 3. describe and state some basic functions of the heart; 4. draw a typical heart and label it."
(PHE),Athletics- Field events (Long jump),"By the end of the lesson, pupils should be able to: 1. demonstrate jumping activities, e.g. jump and reach, jump and touch, jumping on the spot 2. discuss the concept of long jump. 3. list basic phases in long jump events (approach run, take-off, flight, landing, recovery 4. demonstrate long jump phases on the field"
(IT),Drawing with computer -Identification of drawing packages -Microsoft paint -CorelDraw -Adobe Photoshop etc.,"By the end of the lesson, pupils should be able to: 1. Identify drawing packages"
5(Basic Science),THE HUMAN CIRCULATORY SYSTEM -The blood vessels. -The cirwlation of blood.,"By the end of the lesson, pupils be able to: 1. name and idenüfy blood vessels; state the function of blood vessels ; 2. differentiate among arteries, veins and capillaries; 3. describe how food and materials are distributed to different pare of the body by blood, 4. draw blood vessels."
(PHE),Athletics- Field events (High jump),"By the end of the lesson, pupils should be able to: 1. demonstrate jumping activities, e.g. jump and reach, jump and touch, jumping on the spot 2. discuss the concept of long jump. 3. list basic phases in high jump events (approach run, take-off, flight, landing, recovery 4. demonstrate long high phases on the field"
(IT),Drawing with computer -Identification of drawing packages -Microsoft paint -CorelDraw -Adobe Photoshop etc.,"By the end of the lesson, pupils should be ablc to: 1. Identify drawing packages"
6(Basic Science),drugs -Types of drugs: synthetic and naturally occurring drugs,"By the end of the lesson, pupils be able to: i explain the meaning of drugs; ii describe the types of drugs; iii analyse the importance of drugs"
(PHE),Volleyball game,"By the end of the lesson, pupils should be able to: 1. mention different ball games 2. differentiate between facilities and equipment in volleyball games 3. demonstrates basic skills in volleyball game 4. investigate the advantages playing volleyball game 5. recommend the safety measure in playing volleyball game"
(IT),Microsoft Paint -Identification of tools on the toolbar -Drawing with paint -Painting object,"lesson, pupils should be able to: 1. Identify tools on the toolbar 2. Draw and paint shapes"
7,MID TERM BREAK,MID TERM BREAK
8(Basic Science),drug abuse. -Drugs that are mostly abused: hard drugs. -Effects of drug abuse to man and the society.,"By the end of the lesson, pupils be able to: i. describe what drug abuse is; ii enumerate drugs that are mostly abused; iii. appraise the effects of drug abuse to man and the society."
(PHE),Personnal Healthcare,"lesson, pupils should be able to: 1. Identify materials needed for personal health care 2. explain meaning of personal health care 3. justify the importance of personal health care 4. compare between clean teeth and dirty teeth 5. investigate the causes, and prevention of dental problems"
(IT),Scratch Programming The 3s of scratch,"lesson, pupils should be able to,’ 1. Identify the component parts of the scratch interface 2. Differentiate between the 3S scratch"
9(Basic Science),The Human Reproductive System -Definition of the reproductive system -Identification of male and female reproductive organ -Function of male and female reproductive organ,"lesson, pupils be able to: 1. explain the reproductive system; 2. identify the structures of male and female reproductive organs; 3. examine the functions of male and female reproductive organs. 4. discuss the importance of the human reproductive system"
(PHE),Basketball Game,"By the end of the lesson, pupils should be able to: 1. differentiate beNveen facilities and equipment in basketball games 2. demonstrates basic skills in basketball game 3. investigate the advantages playing basketball game 4. recommend the safety measure in playing basketball game"
(IT),The Scripts of Scratch Programming,"By the end of the lesson, pupils should be able to: 1. Identify the different scripts of the scratch interface"
10(Basic Science),-Meaning of puberty Physical and emotional changes in puberty,"By the end of the lesson, pupils be able to: 1. discuss the meaning of puberty; 2. describe the changes in male and female during puberty; 3. distinguish between physical and emotional changes in puberty 4. explain the importance of pubelty in child development"
(PHE),Fooball game,"By the end of the lesson, pupils should be able to: 1. compare between facilities and equipment in football and other ball games 2. demonstrates basic skills in football game 3. investigate the advantages playing football game 4. recommend the safety measure in playing football game"
(IT),The Scripts of Scratch Programming,"By the end of the lesson, pupils should be able to: 1. Identify the different scripts of the scratch interface"
11(Basic Science),"Respiratory system -meaning of respiratory system; -organs of respiratory system such as mouth, nose, lungs, throat etc. Functions of respiratory system;","By the end of the lesson, pupils be able to: 1. develop a definition of respiratory system 2. enumerate and idenffy respiratory organs 3. discuss the furüions of respiratory system."
(PHE),Revision,
,Revision,
12,REVISION,
13,EXAMINATION,
