0,1,2
,CLASS,Primary/Basic 5
,SUBJECT,Yoruba
,TERM,Third Term
WEEK,TOPICS,Learning Objectives
1,Idanwo Ranpe fun ibeere saa tuntun,"Ni opin Idanilekoo, åwon akekoo yoo lé: i. Rånti gbogbo Imo ateyinwa lori eko yii ii. Won yoö le mo åsise won ati onå åbayo"
2Ede,Åroko Alariyanjiyan,"Ni opin Idanilekoo, åwon akekoo yoo lé: i. Sålaye iru åroko ti åroko alariyanjiyan jé. ii. Da llånå kiko aroko yi mo, iii. Ko apeere ori pre fun åroko yii. iv. Dåhun Ibeere lori eko"
Asa,"Ere Ayo Awon to n taa,ohun ibi ti won ti n faa","Ni opin Idanilekoo, åwon akekoo yoo lé: i. Salåye ere ayo gege bi okan låra ere idéraya. ii. Irüfe åwon to n ta ere ayo. iii. Dåruko ohun elo ere iv. Salaye ibi.ti won taa iti Åkoko v. Dahün ibeére lori eko"
Lit,Owe to suyo ninu itan arooso ati oro geere,"Ni opin Idanilekoo, åwon akekoo yoo lé: i. Fa awon owe to suyo ninu åwon lwe itan åroso ii. Sålåyé okookan awon owe wonyi, iii. Iru öwé ti won je åti bi won se loo won ninu awon itan nåa. ninu åwon itan naa iv. Lo won ni gbolohün låti fa itumö won v. Déhün ibééré Iori eko yii"
3Ede,Oro oruko afoyemo ati alasika,"Ni opin Idanilekoo, åwon akekoo yoo lé: i. Sålayé oro oruko afoyemo ati alaiseéka. ii. Se akojo apeere awon oro oruka wonyi iii. Lo apeere won yi ni gbolohun lati fi itumo won han iv. Ise ti won n se ninu gbolohun v. Dahun lbééré Iori ekö yii,"
Asa,"Okoto tita. Ohun élo re, iye åwon to n ta a Anfaani ati åléebü eré","Ni opin Idanilekoo, åwon akekoo yoo lé: i. Sålåyé ere okoto dåadaa. ii. Såpéjuwe åwon ohun élo eré yii. iii. Dårüko iye åwon to n ta okoto. iv. Sålåye anfaani ati aleebu ere okoto."
Lit,ise eré onise kekeré lati ko omode lögbon.,"Ni opin Idanilekoo, åwon akekoo yoo lé: i. Se agbekale eré onise kékeré kan. ii. Fa ogbon inü ere naa yo. iii. Ka eré nåa ni åkågbådun. iv. Dåhün ibééré lori ere naa."
4Ede,Oro oruko Aseeka ati oro oruko aridimu Lilo won ninu gbolohun ede Yoruba,"Ni opin Idanilekoo, åwon akekoo yoo lé: i. Sålåyé ki ni oro oruko Asééka åti Aridimu jé. ii. Se åkojo åpeere fun awon oro oruko wonyi. iii. Lo åwon apeere wonyi ni gbolohün kikun. iv. Dåhun ibeéré Iori eko yii"
Asa,Ere Arin Bi a n se se ere naa -Ofin ere naa -Anfaani ati aleebu ere naa,"Ni opin Idanilekoo, åwon akekoo yoo lé: i. Salaye ere arin ii. Bawo lan n se ere yii iii. Eniyan melo lon n se ere yi iv. Daruko ohun elo fun ere yi v. Akoko ti n se ere yi vi. Ofin ere arin vii. Salaye anfaani ati aleebu ere yi viii. Dahun ibeere lori eko yi"
Lit,Itan Aroso Awon owe ati akanlo ede to suyo ninu itan aroso naa,"Ni opin Idanilekoo, åwon akekoo yoo lé: i. Da itan aroso naa ii. Salaye koko inu itan naa iii. Fa awon owe ati Akanlo ede to suyo ninu itan naa yo iv. Lo awon akanlo abe itan aroso naa v. Dahun ibeere abe itan aroso naa"
5Ede,"Akanlo Ede -Awitunwi afiwe pan-na , oyin, ayo abii.","Ni opin Idanilekoo, åwon akekoo yoo lé: i. Salaye kini awitunwi afiwe oro pan-na – oyin ayo, ife abii ii. Daruko awon akanlo ede miran bi assodun asoregee ati awon akanlo-ede miran iii. Wa itumo fun oro won yi iv. Lo won ni gbolohun kikun v. Dahun ibeere lori eko yi"
Asa,"Ise ajumose lawujo Yoruba Itumo ise ajumose-Apeere: ise ona yiye, ile kiko, ebe kiko, epo fifo abii","Ni opin Idanilekoo, åwon akekoo yoo lé: i. Salaye kini ise ajumose ati iha ti awon Yoruba ko si ii. Daruko awon ise ajumose laarin awon Yoruba i.e ona yiye iii. Menuba iwulo ise ajumose ati alebu re iv. Dahun ibeere lori eko yi"
Lit,Kika iwe ewi apileko ati ijoba fowo si,"Ni opin Idanilekoo, åwon akekoo yoo lé: i. Ka ewi ni akagbadun lai ko won lenu ii. Da ilana ti a n gba ko ewi mo/mo abuda ewi iii. Fa awon ona ede inu ewi yii yoo iv. Salaye awon ona ede wonyi ni ibamu pelu bi won se lo wan v. Dahun ibeere lori eko yi"
6Ede,"Oro aropo, oruko ni ipo oluwa -ise ti oro aropo nse eyo ati opo -idamo kookan ati ilo wan","Ni opin Idanilekoo, åwon akekoo yoo lé: i. Salaye oro aropo oruko ninu gbolohun Yoruba ni ipo oluwa ii. Fala si oro aropo oruko nidi nipo oluwa ninu gbolohun iii. Sapejuwe oro aropo nipo eyo, opo ati nipe oluwa iv. Lilo won ni gbolohun kikun v. Dahun ibeere lori eko yi"
Asa,Aanfaani ati alebu ise Âjùmose,"Ni opin Idanilekoo, åwon akekoo yoo lé: i. Sàlàyé awon anfaani to wa ninu ise ajumose ii. Yoo le so awon aleebu ise ajumose iii. Dahun ibeere lori eko yi"
Lit,,"Ni opin Idanilekoo, åwon akekoo yoo lé: i. Ka iwe na ni àkàgbadun ii. Salaye ibi kika naa iii. Fa koko inu iwe naa yo iv. Salaye eko ti a ri ko ninu iwe naa v. Dahun ibeere lori eko yi"
7,Idanwo ranpe Ibewo åwon obi Isinmi Idaji såå keta,Idanwo ranpe Ibewo åwon obi Isinmi Idaji såå keta
8Ede,Orò arôpò orüko ni ipo àbo ati ìlo won ninu gbolohun.,"Ni opin Idanilekoo, åwon akekoo yoo lé: i. Se ëkunrere alayé lori oro aroPò oruko. ii. Sàpèjüwe oro aroP0 ni ipò àbò ninu gbolohun. iii. Menu ba orisi ona miiran ti à gbà lo aropo ninü gbolohùn. iv. Pinpin àwon akekoo si owoowo lati se asepo ise. v. Dahun ibeere lori eko yi"
Asa,Eré ìdérayi. Eye mélò tolongo waye.,"Ni opin Idanilekoo, åwon akekoo yoo lé: i. Sàpèjüwe eré Idiraya pelu apeere. ii. Sàlàyé bi a se ri se eré Eye melo tòlòògo waye. iii. Déruiko ohun èlò eré iv. Mënuba ìwülò eré yìi. v. Dahun Ibeere Iori eko yii"
