0,1,2
,CLASS,Primary/Basic 4
,SUBJECT,English Studies
,TERM,Second Term
WEEK,TOPICS,Learning Objectives
1,Review of primary three third term work,Review of primary three third term work
2,"Speech Work: letters written to An Old classmate, mother, an old neighbour","By the end of the lesson, students should be able to: i. discuss the features of an informal letter; ii. perform oral and written exercises on the letter; iii. use the format to write their own letter."
2,"(b) Reading: letters written to an old classmate, mother, an old neighbour","By the end of the lesson, students should be able to: i. read letters written to class mates, mother etc.; ii. draw out important features of letter writing; iii. compare the different letters; iv. write their own letters from the format seen."
2,Structure: Comparing fings according to weight,"By the end ofthe lesson, students should be able to: i. discuss words used in comparison; ii. form positive, comparative and superlative of as many adjectives as possible; iii, use each words in sentences; iv. compare things that are equal, ,"
2,(d) Writing: Guided composition: A motor park,"By the end of the lesson, students should be able to: i. describe a motor park they have seen; ii. discuss the things that make up a motor park; iii. write a guided composition on the topic: A Motor Park”."
2,(f) Dictation and Spelling -Selected words from the passage read,"By the end of the lesson, pupils should be able to: l. identify new words from the passage; ii. pronounce the new words; iii. explain the meaning of new words in passage; iv. make new sentences with these words; v. write down the dictated words"
3,(a) Speech Work: Aural Discrimination. /i/ and /e/ – Jell,"By the end of the lesson, students should be able to: l. distinguish between the sounds /i/ in fear and the sound /e/ in fare, ii. recognize the sounds in words, iii. draw the contrast between sounds when they are used in words, iv. identify them words in short passage."
3,"(b)Structure: Further practice in the use of tense, present, past, present perfect and past continuous tense","By the end of the lesson, pupils should be able to: i. identify the use of the tenses, ii. constuct sentences using the tenses, iii. classify the tenses of sentences in a given passage"
3,(c) Reading:,"By the end of the lesson, pupils should be able to: l. analyze the passage; ii. skim for the main points in the passage; iii. scan for specific information; iv. extract new words orally and in written form, from the passage."
3,"(d)Writing: Giving an account of visits to place of interest e.g local market, supermarket, idanre hills","By the end of the lesson, pupils should be able to: i, give an account of a visit to a market or supermarket or hill they have been to; ii. identify major features of the places visited; iii. write a composition on the topic"
3,"(e)Dictation: Spelling, Selected words from the passage read.","By the end of the lesson, pupils should be able to: i. identify new words from the passage; ii. write the meaning or the new word in passage: iii. make a sentence with these words: iv, write down the dictated words;"
3,(f) Supplementary Reading,"By the end of the lesson, pupils should be able to: l. share with other pupils the story read; ii, discuss lessons leamt from the book: iii. relate events in the story to their personal lives."
4,(a)Speech Work: Aural discrimination /a:/ and /):/,"By the end of the lesson, students should be able to: l. recognize the sounds by pronouncing it in words; ii. distinguish between the sound la:/ in bar and /):/ in board; iii. draw the contrast between sounds when they use the words; iv. make simple correct sentences to bring out the sound and meaning."
4,"(b)Struciure: Giving an account of visits to place ofinterest e.g tourist attraction, hospital, court of law","By the end of the lesson, students should be able to: i. describe places of interest they have been to, like a tourist attraction, hospital, court of law, shopping mall; ii. make simple correct sentences and punctuations while witing; iii. narrate about their visits to places of interest."
4,c)Reading: Vocabulary and oral and written comprehension.,"By the end of the lesson, pupils should be able to: i. analyzes the passage; ii. differentiate between main ideas and supporting ideas in the passage; iii. recognize new words that signal details/ illustrations and examples in the passage"
4,(d)Grammar:Punctuation marks. Full stop and Question mark,"By the end of the lesson, pupils should be able to: i. discribe and discuss the punctuation marks ii. use both punctuation marks correctly in a sentence"
4,(e) Writing: Composition: day I shall never forget’,"By the end of the lesson, students should be able to: l, narrate story; ii, discuss the eletnents of a narrative composition: iii. write the eonvosition on the given topic."
4,"(f) Dication: spelling, Selected words from the passage read.","By tho end of the lesson. pupils should be able to: i. identify new words the passage; ii. pmnounce the new words: iii. explain the meaning of new words in passage; iv. make new sentences with these words; v. write down the dictated words,"
5,(a) Speech work: Aural Discrimination distinguish between the sound / t/and the sound//.,"By the end of the lesson, students should be able to: i. distinguish between the two pair of sounds: ii. recognize the sounds in words; iii. draw the contrast between the sounds when they are used in words; iv. identify the sounds in a shod passage."
5,(b) Structure: Descriptive passage: My visit to Lagos University Teaching Hospital,"By the end Of the lesson, pupils should be able to: i. highlight the features of a descriptive essay; ii. discuss what makes up a good hospital and items in them; iii. write a descriptive essay on a visit to any hospital."
5,"(c) Reading: teaching of new words, spellings (Comprehension)","By the end of the lesson, pupils should be able to: i, analyze the passage; ii. differentiate between main ideas and supporting ideas in the passage; iii. recognize new words that signal details/ illustrations and examples in the passage"
5,"(d) Grammar: Write or copy their own composition from the substitution table, use punctuation marks, use link words","By the end of the lesson, students should be able to: i. use the substitution table, punctuation marks and linking words to write a good composition."
5,(e) Writing: study the words and make sentences with them,"By the end of the lesson, students should be able to: i. study some groups of words from a selected passage or text; ii. construct new sentences from the selected text or passage; iii. find the meaning of the new words; iv. use the new words in new sentences."
5,(f) Dictation: Selected words from the passage read,"By the end of the lesson, pupils should be able to: i. identify new words from the passage; ii, pronounce the new words; iii. explain the meaning of new words in passage; iv. make new sentences with these words; v. write down the dictated words."
6,(a) Speech Work: -Aural Discrimination distinguish between the sound / v/and the sound/f/.,"By the end of the lesson, students should be able to: i. distinguish between the consonants sounds in the words ‘very and ‘ferry’ the sounds in ii. draw the eontrast sounds they use the iv. make simple correct sentenees with the sounds and identify the sounds in a passage."
6,"(b) Structure: Reading letters written to elder sisters, brother’s father, teachers and friends","By the end of the lesson, students should be able to: i. discuss the informal letter iii. read leters written to aunties. sister etc.; iii. use the format in their own informäl letter."
6,(c) Reading: Vocabulary and Comprehension,"By the end of the lesson, pupils should be able to: i. analyze the passage ii. differentiate between the main ideas and surpporting in the passage; iii, recognize new words that signal details/ illustration and examples in the passage."
6,"(d) Grammar: Comparing things and persons according to weight, shape, size, height and distance","By the end of the lesson, pupils should be able to: i. discuss words used in the comparison ii. form positive, comparative and superlative, of as many adjective as possible iii. use each words in sentence iv. compare things that are equal"
6,(e) Writing: Composition using Comparative and superlative adjectives,"By tho end of tho lesson, studontg should bo ablc to: i. doscnbc adjectives that compares; ii. show comparative and superlative of words, iii.write a composition comparing themselves with someone else e.g. a sibling, family member, or friend"
6,(f) Dictation: Selected words from the passage read,"By the end of the lesson, pupils should be able to: l. pick out new words from the passage; ii. pronounce the new words; iii. explain the meaning of new words in passage; iv. make new sentences with these words; v. write down the dictated words."
