0,1,2
LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS
Basic Science Scheme of Work for Primary/Basic 3,Basic Science Scheme of Work for Primary/Basic 3,Basic Science Scheme of Work for Primary/Basic 3
,CLASS,Primary/Basic 3
,SUBJECT,Basic Science
,TERM,First Term
WEEK,TOPICS,Learning Objectives
1,Revision of Basic 2 work,
2,Measurement of Length -Meaning of length – instruments of measuring length -Standard metric units of length -Practical demonstrations of measuring length,"By the end of the lesson, pupils should be able to: i. mention the methods of obtaining length from their past experiences; ii.explain the meaning of length; iii. describe various instument for measuring length; iv.identify the metric units of measuring length (mm, cm); v. measure and record the length, breadth and height of objects around them; vi. analyse reason for differences in length"
3,Measurement of Mass -Meaning of mass instruments of measuring mass Standard,"By the end of the lesson, pupils should be able to: i. mention the methods of obtaining mass from their past experiences ii. explain the meaning of mass; iii. mention various instruments for measuring mass or objects; iv. identify the metric units of measuring mass (g kg); v. measure and record the weight of objects in the classroom; vi. compare masses of objects; vii. analyse reasons for differences in mass"
4,Measurement of Time -Meaning and instruments of specified time -Standard metric unit of time -Sprcified activities within specified time frame.,"By the end of the lesson, pupils should be able to: i. mention the meth0ds of obtaining time from past experience; ii. explain the meaning of time iii. mention instrument for masuring time; iv. identify the units of measuring time (seconds, minutes, hours, weeks months and years); v: discuss how specified time task are performed within specified time frame."
5,Forms of Energy -Light Energy -Meaning of light energy -Sources of light energy – Uses of light energy,"By the end of the lesson, pupils shouldbe able to: i. explain the meaning of light energy, ii. identify different sources of light energy, iii. describe uses of light energy to man; iv. analyse the importance of light in their envimnment"
6,Mirror- Image Formation -Properties of light -Plane mirrors -Reflection of light,"By the end of the lesson, pupils should be able to: i. identify characteristics of light; ii. describe types of mirrors; iii. demonstrate reflection of light using shiny surfaces; iv. explain the applications of reflection of light."
7,MID-TERM ASSESSMENT,MID-TERM ASSESSMENT
8,Forms of Technology I- Underdeveloped Technology -Forms of technology -Examples of underdeveloped technology -Characteristics of underdeveloped technology,"By the end of the lesson, pupils should be able to: i. identify forms of technology; ii. examine examples of technology: a.. farming with hoes and cutlasses; b. using of town crier, c. use of stones to make fire; d. use of animals like donkeys, camel etc for transportation iii. discuss the characteristics of underdeveloped technology"
9,Forms of Technology -Developed Technology -Examples of developcd technology -Characteristics or developed technology,"By the end of the lesson; pupils should be able to: i. identify forms of developed technology; ii. examine xamples of devclopcd technology a. farrning with harvesters and tractors; b. using of public address systems; c. use of lighters: d. use of ships, airplanes, jets etc for transportaion. iii. discuss the characteristics of developed technology iv. compare underdeveloped technology with developed technology."
10,Forms of Technolog Ill: -General uses of Technology,Pupils should be able to: i. identify forms of technology: ii. examine examples of modern day technology; iii. discuss uses of modern day technology; iv. analyse the importance of modern day technology; v. discuss the importance of modern technology in everyday activities.
11,REVISION,REVISION
12,EXAMINATION,EXAMINATION
