0,1,2
LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS
Basic Science Scheme of Work for Primary/Basic 2,Basic Science Scheme of Work for Primary/Basic 2,Basic Science Scheme of Work for Primary/Basic 2
,CLASS,Primary/Basic 2
,SUBJECT,Basic Science
,TERM,First Term
WEEK,TOPICS,Learning Objectives
1,Revision of Basic 1 work,
2,The Senses -Explain senses -Identify the senses -identify and match the organs of sense,"At the end of the lesson, pupils should be able to: i- identify the senses ii. match each sense to its organs of sense iii. draw its organs of sense."
3,The senses-Sight -Meaning or sight -Identification of the eye as the organ of sight,"At the end of the lesson, pupils should be able to: i. Use the sense of sight to observe and name various Objects around them in the classroom their shapes. co!our, and size; ii. appraise the importance of the eye as the sense of sight;"
4,The scnses- Hearing The ear as the organ of sound -Dillerent sounds objects that produce sound -Importance of sound,"At the end of the lesson, pupils should be able to i. identify the ear as the organ for receiving sounds ii. listen and idetltfy sounds differrnt animals and object in the environment; iii. differentiate between sounds of object, animals and humans; iv. appraise the importance of the sense of sound in their interaction with their environment"
5,The senses-Smell -The nose as the organ of smell -Smell of different substance -Pleasant and unpleasant odour -Importance of smell,"At the end of the lesson, pupils should be able to: i. Identify the nose as the organ of smell; ii. recognize the items (like fruits, food etc) through smelling; iii. describe the pleasant and unpleasant Odour; iv. associate odours with specific pleasant and unpleasant smell. v. Appraise the importance of nose/odours in daily activities"
6,The senses- Taste -The tongue as the organ of taste Taste buds -Taste of substances,"At the end of the lesson, pupils should be able to: i.identify the taste of different substances; ii.describe the types of taste of food substances; iii. distinguish between types of taste"
7,MID-TERM ASSESSMENT,MID-TERM ASSESSMENT
8,The senses- Touch,"At the end of the lesson, pupils should be able to i.detect the textures of various substances through touching and feeling; ii. identify the skin as the organ of touch; iii. distinguish between rough and coarse objects; cold and hot, etc. iv. assess the importance of the skin and the sense of touch to them"
9,Meaning of soil Tvpcs of soil Water holding capacy of soil,"At the end ot the lesson, pupils should be able to: i. identify soil locations within the school compound: ii. describc ‘the types of soil iii. compare clay soil and sandy soil through mouldings. iv. examine the watcr holding capacities of these soil types;"
10,Sandy Soil -Meaning -Orgausms in the sample of soil -Propeties of sandy soil,"At the end of the lesson, pupils be able m: i. collect and identify soil type (sandy); ii.examine to identify the organisms in the soil iii.describe the texture, colour and size cf the soil particles"
11,REVISION,REVISION
12,EXAMINATION,EXAMINATION
