0,1,2
LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS
Social Studies Scheme of Work for Primary/Basic 2,Social Studies Scheme of Work for Primary/Basic 2,Social Studies Scheme of Work for Primary/Basic 2
,CLASS,Primary/Basic 2
,SUBJECT,Social Studies
,TERM,First Term
WEEK,TOPICS,Learning Objectives
1,Scope of social studies and meaning of social studies,Pupils should be able to i.define social studies ii. explain the scope of social studies iii.identify the areas of focus of social studies
2,Culture (meaning),Pupils should be able to i.Define culture ii. List things that make up a culture iii. Distinguish the culture of the three major tribes in Nigeria
3,Element of Culture,Pupils should be able to: i.Mention elements of culture ii. Compare the element of culture among the three major cultural group in Nigeria
4,The importance of culture in Nigeria,Pupils should be able to: i. list and explain the important of culture in Nigeria ii.describe various ways of presenting our culture to Nigeria. iii. mention the effect of foreign on our culture
5,Food we eat in our family member,"By the end of this lesson, pupils should be able to: i. mention types of food eaten among the three major cultural groups in Nigeria. ii.mention similar food we eat together in our cultural group iii. mention the types of food eaten by other culture"
6,Why we eat together,"By the end of this lesson, pupils should be able to i. State the reason why people eat together ii. mention effect of eating as a family iii. list different types of food they eat in their family"
7,MID TERM BREAK,MID TERM BREAK
8,The nutrient in the food we eat and their importance to growth,"By the end of this lesson, pupils should be able to i.define nutruent and food ii. mention various nutrient gotten from the food we eat iii. list the six classes of food with examples of food on each class iv. discuss the importance of food to our growth."
9,Nutient of food we eat(contd),Pupils should be able to: i. define nutrient and food distinguish between nutrients and food ii. mention the six classes of food iii. describe the importance of food to our growth iv. menüon the nutrient derived from eating a particular food
10,Revision,Revision
