0,1,2
,CLASS,Primary/Basic 4
,SUBJECTS,Cultural and Creative Art
,TERM,Third Term
WEEK,TOPICS,Learning Objectives
1,Readiness test -Print making(Leaf and Thumb print),"By the end of the lesson, pupils should be able to: i. explain the meaning of leaf and thumb print. ii. discover leave suitable for print or make use of the thumb, iii. print with leaves or thumb to create design."
2,Definition of Music,"By the end of the lesson, pupils should be able to: i. state sources of music, ii. list things that produce sounds, iii. differentiate between noise and music."
3,Modelllng with Paper Mache,"By the end of the lesson, pupils should be able to: i. explain the meaning of paper mache, ii. identify materials used in paper mache, iii. make object using paper mache"
4,Classification of musical instruments and sounds,"By the end of the lesson, pupils should be able to: i. identify Nigerian musical instruments, ii. discover how they are played and sound they produce, iii. classify Nigerian musical instruments."
5,Classification of instruments and sounds,"By the end of the lesson, pupils should be able to: i. identify foreign musical instruments, ii. discover how they are played and sound they produce, iii. classify foreign musical instruments,"
6,Definition of Drama,"By the end of the lesson, pupils should be able to: i. explain the meaning of drama, ii. differentiate between drama and theatre, iii. participate in a short drama."
7,MID -TERM/OPEN -DAY,MID -TERM/OPEN -DAY
8,Definition of Dance,"By the end of the lesson, pupils sh011d be able to: i. explain the definition of dance, ii. state the dance, iii. present dance performance for the class and the school."
9,Mode of Greeting,"By the of the lesson, pupils should be able to: i. identify how to greet in different part of Nigeria, ii. list occasion to greet and benefit of greeting, iii. differentiate greetings of different tribes in Nigeria."
10,Types of Drawing,"By the of he lesson, pupils should be able to i. identify different types of drawing ii. differentiate drawing with examples iii. produce different drawing"
11,REVISION,REVISION
12-13,EXAMINATION,EXAMINATION
