0,1,2
,CLASS,Primary/Basic 6
,SUBJECT,Cultural and Creative Art
,TERM,Second Term
WEEK,TOPICS,Learning Objectives
1,Readiness test Mosaic,"By the end of the lesson, pupils i. Appraise mosaic work, ii. Justify the materials and tools used for making mosaic. iii. create mosaic to reflect ills of HIV/AIDS, cultism, corvid 19,"
2,Choral Singing,"By the end of the lesson, pupils should be able to: i. evaluate choral singing; ii. classify choral singing; iii. practice and perfom a choral plecs."
3,Introduction to play production,"By the end of tie lesson, pupils should be able to: i. discuss a play production; ii. analyse Nigerians play production; iii. evaluate one Nigerian actor/actress."
4,Forms of Dance,"By the end of lesson, pupils should be able to: i. identify notable Nigerian dancers; ii. examine their contrbution to national development; iii. demonstrate one form of dance."
5,Care of Tools and Equipment used in Performing arts and entertainment,"By the end of lesson, pupils should be able to: i. Identify tools and equipment used in Arts, Performing arts and entertainment; ii. Categorize each tools and equipment into Arts, Performing arts and entertainment; iii. Explain how to care for each tool and equipment used in Arts, Performing arts and entertainment"
6,Play,"By the end of lesson, pupils should be able to: i. discuss role playing ii. mention the function of role play; iii. identify occasions when role play can be used; iv. compare the difference between role play and acting."
7,TEST/MID-TERM/OPEN DAY,TEST/MID-TERM/OPEN DAY
8,Recycling,"By the end of the lesson, pupils should be able to: i. Explain the meaning of recycling; ii. Mention the importance of recyding; iii. Identfy materials that can be recycled. iv. Recycle using plastc bottle for utlitarian use."
9,Introduction to still life drawing,"By the end of tie lesson, pupils should be able to: i. appraise sill life drawing, ii. identfy different parts of the body; iii. sketch a full human figure."
10,Definition of Music,"By the end of the lesson, pupils should be able to: i. explain music and noise, ii. discover sources of music; iii. differenfiate between noise and music."
11,REVISION,
12-13,EXAMINATION,
