0,1,2
,CLASS,Primary/Basic 3
,SUBJECT,Cultural and Creative Art
,TERM,Second Term
WEEK,TOPICS,Learning Objectives
1,"Introduction to modelling e.g objects like pot, cups, etc with paper mache","By the end of the lesson, students will be able to: i. relate the definition of Inodelling with paper, ii. mention the materials used for modelling, iii. highlight the method and steps to follow in modclling with papier macho, iv. model the different objects e.g. cups, plates, animals like lizard etc."
2,Singing tonic solfas of twinkle twinkle little stars and some matching songs.,"By the end of the lesson, students will be able to: i. repeat the musical sound pronounced by the teacher correctly, ii. sing the tonic solfas of the seven songs correctly, iii. sing the text, follow its tonic solfas."
3,Traditional fabrics and dresses.,"By the end ofthe lesson, pupils should be able to: i. identify the traditional fabrics of each culture of Nigerian languages, ii. appreciate their cultural heritage in terms of their traditional dresses, iii. state the occasions where each fabric is used and their importance."
4,Musical notes and their values,"By the end of the lesson, pupils will be able to: i. identify the different musical notes with their shapes, ii. watch each notc with its own values and rest signs, iii. clap each of their beats or counts correctly, iv. plot a table containing cach note with their different names, v. values, beat number and rest signs with the assistance of the teacher"
5,Methods of modelling objects with clay plastering.,"By the end oflesson, pupils will be able to: i. Describe what clay is, ii. mention the methods of modelling with clay, iii. demonstrate the different methods of modelling to mould objects like cup, pot, animals etc, with clay."
6,"Importance of Traditional Dresses e.g. iro and Buba, Aso Oke, Adire, “Tar shara and Hula” etc","By the end of the lesson, pupils will be able to i. identify the traditional wears of different tribes in Nigeria i.e. Yoruba, Hausa, Igbo, etc, ii. outline some of the traditional wears and their importance to different cultures. e.g. Babariga”,” buba and iro”,” sokoto”, “yar-shar and hula”."
7,MID-TERM OPEN-DAY,MID-TERM OPEN-DAY
8,Musical notes: Rhythmic Clapping.,"By the end of the lesson, pupils will be able to: i. identify each note with their numbers of counts or beats, ii. clap different music with their accurate timing."
9,Fashion accessories.,"By the end of the lesson, pupils will be able to i. relate the meaning of fashion accessories, ii. summarise the types of traditional accesories and their importance to fashion"
10,Musical notes. Introduction to notation.,"By the end of the lesson, pupils will be able to i. musical notes on lines and space of the treble and bass stave correctly ii. musical match notes with their rest signs drawn"
11,Costume. Make-up in Drama,"By the end of the lesson, pupils will be able to i. Demonstrate the meaning of costume. ii. Classify the types and functions of costume. iii. how to make up and present to the class. . iv. Beaded jewelleries, corals, combs, walking stick."
12,REVISION,REVISION
13,EXAMINATION,EXAMINATION
