0,1,2
,CLASS,Primary/Basic 1
,SUBJECT,Mathematics
,TERM,Third Term
WEEK,TOPICS,Learning Objectives
1,Revision of second term’s work -Counting Skill: Numbers 1-170 -Writing Skills:,Pupils should be able to: i. count numbcrs 1-170; ii. order numbers fmm 1 -100; iii. identify numbers from 1-170; iv. add two 1- digit numbers with sum not more than using math hcts; v. describe the value of zero when zero is added and subtracted from identity fractions: halvz and quarters.
2,Introduction to Addition of Numbers -Counting Skills: Numbers 171-180- -Count in 2s and 3s.,"At the end of the lesson, pupils should be able to: i. count and identify numbers from 171 —180; ii. write I -180 in Numerals iii. add two whole numbers with sum not more than 50; iv. solve simple math addition 20 + 30 = 50 and 30+20=50; v. identify place value of two digit numbers; vi. skip count in 3s and 10s; vii. apply addition of two double digit numbers in life situations (Real life problems); viii. solve quanütaüve reasoning."
2,Writing Skills: -Writing of numbers 171-180 -Addition of two 2-digits numbers of not more than 50,
3,Introduction to Math facts: Subtraction of numbers Counting Skill: -Numbers 181-190 -Skip count in 2s and 10s,"By the end of the lesson, pupils should be able to: i. count and identify numbers from 181-190; ii. count from 1 – 190; iii. Skip count in 2s and 3s; iv.write numbers 1 190 in numerals interprete the functions of these symbols: + , – and? v. solve missing number problems involving numbers up to 20 given statements using the symbols + , – and add and subtract I-digit and 2-digits numbers up to 50, including zem; vi. apply numbers in real life situations (Real Life Pmblems)."
3,Writing Skill: -Writing of the numbers -Subtraction involving addition,
4,Money:Nigerian Currencies Counting Skill: -Numbers 190-200,"At the end of the lesson pupils should be able to: i. count and identify numbers; ii. count forward and backward to 1 skip count in 2s, and 5s using money; iii. explain money and tis importance and describe ways money can be spent and kept; iv. recognize different denominations in Nigeria Currencies 1k 5k.10k, 25k, 50K, 100, N200,N500 arrange coins in order of their real values. v. differentiate between coins and one coin in terms of (in value) arrange naira note and coins in order of their values using ordinal numbers to identify their position and order."
4,Writing Skill: -Writing of the numbers -Recognition of Coins and notes,
5,Money (Contd.) Counting Skills: 201-210,"At the end of the lesson pupils should be able to: i. count and identify numbers from 1-210; ii. count forward to 200 and backward to 1; iii. skip count in 2s, 3s, and 5s using money; iv. arrabge naira notes in order of their value using ordinal numbers to identify their position and order; v. add and subtract in kobo and naira with different value not exceeding 50 Kobo and 50 Naira vi. Buy, sell and calculate the balance."
5,Writing Skills: Writing of the numbers -addition and subtraction of coins and the naira notes (without regrouping) -Learn the use of money in transaction.,
6,"Length: Counting Skills Numbers 211-220 -skip count in 2s, 5s and 10s","At the end of the lesson pupils should be able to: i. count and identify numbers from 211-210; ii. count forward to 220 and backward; iii. skip count in 2s, 5s and 10s; iv. give the meaning of length estimate and given distance with natural unit(non-standard unit) such as hand span, index finger length. v. measure length with natural unit such as foot length, finger span, and hand span. vi. compare the length of two or three object using the vocabulary; long, longer, longest.or short, shorter. vii. differentiate between height and length; viii. apply measurement in real life situation e.g positioning of objects in their classroom, white marker board and books,"
6,Writing Skills: Writing of the numbers; -Non standard measurement of length; -Standard measurement of length; – Comparison of length of object.,
7,MID TERM BREAK,MID TERM BREAK
8,"Weight Counting Skill: – Number 221 – 230 -Skip count In 2s, 5s and 10s.","At the end of the lesson, pupils should be able to: i. count and identify numbers from 221-230; ii. count forward 1 to 230 and backwards; iii. skip counting in 2s, 5s and 10s. iv. give the meaning of weight compare the weight of some common objects around the school using the light” and *heavy” or “lighter than’ or heavier than” apply weight in real life situation (Real life Problems) v. subtract 1 digit numbers from 2 digit numbers using weight parameters."
9,"Two dimensional shapes Counting Skill: -Numbers 231-240 -Skip count in 2s, 5s, 10S.","By the end of the lesson, pupils should be able to: i. count and identify numbers from 231-240; ii. count forward to 240 and backwards; iii. skip count in 2s, 5s and 10s. iv. recognize and identify curved lines or straight lines v. mention and identify the objects that belongs to 2 dimensional shapes around them identify different shapes such as Square-chess board, Circle tyre or coin, Rectangle- door Triange; vi. mention 2 dimensional shape containers used at home vii. apply in real life situaäon; viii. solve quantitative reasoning."
9,"Writing Skills: -Writing of the numbers -Recognition of curved line, straight lines -Description of shapes and figures.",
10,Capacity: 3 Dimensional shapes Counting Skill: -Numbers 241-250,"By the end of the lesson, pupils should be able to.’ i. count and identify numbers from 241 -250 ii. count forward to 250 and backward; iii. skip count in 2s, 5s and 10s up to 250; iv. mention the objects that are 3 – dimensional shapes in nature e.g. sugar cube -cube, match-box cuboid, tin of milk- cylinder,flying kitekite. v. mention 3 -dimensional shape containers used at home for storage of concrete objects and storage of liquids compose and decompose 3D shapes vi. Apply capacity in real life situation vii. Solve quantitative reasoning in exercise related to 3 dimensional"
10,Writing Skill: -Writing of the numbers •Description of shapes and figures -Compose a big 2-D shape using smaller given shapes •Decompose a larger shape into a given number of smaller shapes,
11,"Data collection -Counting Skill: -Numbers 1-250 -Skip count in 2s, 5s and 10s up to 250 and backwards","By the end ofthe lesson, pupils should be able to: i. count and identify numbers from 1-250 ii. count forward up to 250 and backwards. iii. skip count in 2s, 5s and 10s to 250 and back. iv. give simple meaning of data collection v. retrieve infomaäon on pictograph and interpret data presented in displays; vi. compare the result on two or more information retrieve on pictograph e.g. the difference in children loving colours; vii. apply collection in real life situations viii. Solve reasoning in exercises relating to data collecton"
11,Writing Skill: -Writing of the numbers •Data collection -Pictograph -Retrieve and interpret data -Collate their age group (mates) with their heights,
12,Revision,
13,EXAMINATION,Revision
14,EXAMINATION,EXAMINATION
