0,1,2
"LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLSHistory Scheme of Work for Primary/Basic 3WEEKCLASSPrimary/Basic 3SUBJECTHistoryTERMFirst TermTOPICSLearning Objectives1NIGERIAN PEOPLE -Geopolitical zones of Nigeria. -The states that comprise the geopolitical zonesBy the end of the lesson, pupils should bc ablc to: 1. Explain the meaning ofa geopolitical zone; 2. Mention thc number of geopolitical zones in Nigeria 3. Examine the states that comprise thc geo-political zones 4. Justify the division of Nigeria into thc geo-political zones2SOUTH-WEST GEO-POLITICAL ZONE PEOPLE (ANCIENT & MODERN)By the end ofthe lesson, pupils should be able to: 1. Name the Nigerian peoples in the zone and their 2. Explain the main occupations of Yoruba and Egan people in the pæ-colonial times and post- colonial times. 3. Discuss the main mode of transportaticn of people of the geopolitical zone in the pre-colonial times and post-colonial times 4. Examine the various levels of the peoples of the South-West geopolitical zone; 5. Relate the origin of the people in the South West geopolitical zone.3SOUTH-WEST GEOPOLITICAL ZONE IN NIGERIA (ANCIENT )By die end offfe lesson, pupils should be able to: 1. Name the Nigerian people in South-West geopolitial zone and their locations; 2. list the states in the South- West geopolitical zones; 3. Explain the main pre-colonial ocupations in the South-West zone; 4. Describe the main modes of transport in the zone; 5. Examine the social organization in the South-West South geopolitical zone. 6. Analyze the political organization of the peoples of the South-South zone; 7. Relate the various tradition of the people of the South-South zone.4The origin of the peoples of the South-South geopolitical zone SOUTH-SOUTH GEOPOLITICAI ZONE IN NIGERIA (MODERN)By the encl of the lesson, Pupils should able to: 1. Give the states in the South-South geopolitical tone; 2. Name the capitals of the states in the south-south geopolitical zone;5SOUTH-SOUTH GEOPOLITICAL ZONE (ANCIENT)CONTDBy the end ofthe lesson, pupils should be able to: 1. Discuss the natural resources in south-South geopolitical zone of Nigeria. 2. Mention the main precolonial occupations in the south-east geopolitical zone; 3. Describe the main mode of t:ransport in the south-east zone; 4. Discuss the levels of Socialisation in South-South 5. Pupils are guided into research the origin of the people of South-South6SOUTH-EAST GEOPOLITICAL ZONE (MODERN)By the end of the lesson, pupils should be able to: 1. Name thesbtes in the south-east zone; 2. Mention the capitals ofthe states in the south-east geopolitical zone;7MID TERM BREAK8SOUTH-EAST GEOPOLITICAL ZONES PEOPLES (ANCIENT) CONTDBy the end of åe lesson. Pupils should be able to: 1. Pupils in pairs, write the natural resources in South-East 2. Each pupils research on the past and present governors of South-East9NORTH-EAST GEOPOLITICAI ZONES PEOPLES (MODERN)By the end of the lesson, pupils should be able to. 1. Name the states that comprise the northeast geopolitical zone; 2. Give the capitals of the states in the north east zone; 3. Research the cmrrcnt governors of the northeast geopolitical zone; 4. Examine the natural resources of the northeast geopolitical zone.10NORTH-CENTRAL GEOPOLITICAL ZONE -The levels of socializtion in the north central geopolitical zone. -The traditions of origins of the people of the north central geopolitical zoneBy thc end ofthc lcsson, pupils should bc ablc to: 1. Give the names of the peoples of north central geopolitical zone and their various locations; 2. Mention the main pre-colonial occupation of the people of north central geopolitical zone; 3. the main pre-colonial mode of transport of the people of north central geopolitical zone; 4. Relate the levels of socialization in the north central geopilitical zone; S. Examine the traditions of origins of the people of the north central geopolitial zone.11NORTH-WEST GEOPOLITICAL ZONE (MODERN)By the end of the lesson, pupils be able to: 1. Mention the states that comprise North West geopolitical zone; 2. Name the capitals of the states in the North West geopolitical zone; 3. Research the natural resources of the North West geopolitical zone; 4. Examine the current governors of the North West geopolitical zone.12-13REVISION & EXAMINATION-General revision of-all the work of the term","LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLSHistory Scheme of Work for Primary/Basic 3WEEKCLASSPrimary/Basic 3SUBJECTHistoryTERMFirst TermTOPICSLearning Objectives1NIGERIAN PEOPLE -Geopolitical zones of Nigeria. -The states that comprise the geopolitical zonesBy the end of the lesson, pupils should bc ablc to: 1. Explain the meaning ofa geopolitical zone; 2. Mention thc number of geopolitical zones in Nigeria 3. Examine the states that comprise thc geo-political zones 4. Justify the division of Nigeria into thc geo-political zones2SOUTH-WEST GEO-POLITICAL ZONE PEOPLE (ANCIENT & MODERN)By the end ofthe lesson, pupils should be able to: 1. Name the Nigerian peoples in the zone and their 2. Explain the main occupations of Yoruba and Egan people in the pæ-colonial times and post- colonial times. 3. Discuss the main mode of transportaticn of people of the geopolitical zone in the pre-colonial times and post-colonial times 4. Examine the various levels of the peoples of the South-West geopolitical zone; 5. Relate the origin of the people in the South West geopolitical zone.3SOUTH-WEST GEOPOLITICAL ZONE IN NIGERIA (ANCIENT )By die end offfe lesson, pupils should be able to: 1. Name the Nigerian people in South-West geopolitial zone and their locations; 2. list the states in the South- West geopolitical zones; 3. Explain the main pre-colonial ocupations in the South-West zone; 4. Describe the main modes of transport in the zone; 5. Examine the social organization in the South-West South geopolitical zone. 6. Analyze the political organization of the peoples of the South-South zone; 7. Relate the various tradition of the people of the South-South zone.4The origin of the peoples of the South-South geopolitical zone SOUTH-SOUTH GEOPOLITICAI ZONE IN NIGERIA (MODERN)By the encl of the lesson, Pupils should able to: 1. Give the states in the South-South geopolitical tone; 2. Name the capitals of the states in the south-south geopolitical zone;5SOUTH-SOUTH GEOPOLITICAL ZONE (ANCIENT)CONTDBy the end ofthe lesson, pupils should be able to: 1. Discuss the natural resources in south-South geopolitical zone of Nigeria. 2. Mention the main precolonial occupations in the south-east geopolitical zone; 3. Describe the main mode of t:ransport in the south-east zone; 4. Discuss the levels of Socialisation in South-South 5. Pupils are guided into research the origin of the people of South-South6SOUTH-EAST GEOPOLITICAL ZONE (MODERN)By the end of the lesson, pupils should be able to: 1. Name thesbtes in the south-east zone; 2. Mention the capitals ofthe states in the south-east geopolitical zone;7MID TERM BREAK8SOUTH-EAST GEOPOLITICAL ZONES PEOPLES (ANCIENT) CONTDBy the end of åe lesson. Pupils should be able to: 1. Pupils in pairs, write the natural resources in South-East 2. Each pupils research on the past and present governors of South-East9NORTH-EAST GEOPOLITICAI ZONES PEOPLES (MODERN)By the end of the lesson, pupils should be able to. 1. Name the states that comprise the northeast geopolitical zone; 2. Give the capitals of the states in the north east zone; 3. Research the cmrrcnt governors of the northeast geopolitical zone; 4. Examine the natural resources of the northeast geopolitical zone.10NORTH-CENTRAL GEOPOLITICAL ZONE -The levels of socializtion in the north central geopolitical zone. -The traditions of origins of the people of the north central geopolitical zoneBy thc end ofthc lcsson, pupils should bc ablc to: 1. Give the names of the peoples of north central geopolitical zone and their various locations; 2. Mention the main pre-colonial occupation of the people of north central geopolitical zone; 3. the main pre-colonial mode of transport of the people of north central geopolitical zone; 4. Relate the levels of socialization in the north central geopilitical zone; S. Examine the traditions of origins of the people of the north central geopolitial zone.11NORTH-WEST GEOPOLITICAL ZONE (MODERN)By the end of the lesson, pupils be able to: 1. Mention the states that comprise North West geopolitical zone; 2. Name the capitals of the states in the North West geopolitical zone; 3. Research the natural resources of the North West geopolitical zone; 4. Examine the current governors of the North West geopolitical zone.12-13REVISION & EXAMINATION-General revision of-all the work of the term","LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLSHistory Scheme of Work for Primary/Basic 3WEEKCLASSPrimary/Basic 3SUBJECTHistoryTERMFirst TermTOPICSLearning Objectives1NIGERIAN PEOPLE -Geopolitical zones of Nigeria. -The states that comprise the geopolitical zonesBy the end of the lesson, pupils should bc ablc to: 1. Explain the meaning ofa geopolitical zone; 2. Mention thc number of geopolitical zones in Nigeria 3. Examine the states that comprise thc geo-political zones 4. Justify the division of Nigeria into thc geo-political zones2SOUTH-WEST GEO-POLITICAL ZONE PEOPLE (ANCIENT & MODERN)By the end ofthe lesson, pupils should be able to: 1. Name the Nigerian peoples in the zone and their 2. Explain the main occupations of Yoruba and Egan people in the pæ-colonial times and post- colonial times. 3. Discuss the main mode of transportaticn of people of the geopolitical zone in the pre-colonial times and post-colonial times 4. Examine the various levels of the peoples of the South-West geopolitical zone; 5. Relate the origin of the people in the South West geopolitical zone.3SOUTH-WEST GEOPOLITICAL ZONE IN NIGERIA (ANCIENT )By die end offfe lesson, pupils should be able to: 1. Name the Nigerian people in South-West geopolitial zone and their locations; 2. list the states in the South- West geopolitical zones; 3. Explain the main pre-colonial ocupations in the South-West zone; 4. Describe the main modes of transport in the zone; 5. Examine the social organization in the South-West South geopolitical zone. 6. Analyze the political organization of the peoples of the South-South zone; 7. Relate the various tradition of the people of the South-South zone.4The origin of the peoples of the South-South geopolitical zone SOUTH-SOUTH GEOPOLITICAI ZONE IN NIGERIA (MODERN)By the encl of the lesson, Pupils should able to: 1. Give the states in the South-South geopolitical tone; 2. Name the capitals of the states in the south-south geopolitical zone;5SOUTH-SOUTH GEOPOLITICAL ZONE (ANCIENT)CONTDBy the end ofthe lesson, pupils should be able to: 1. Discuss the natural resources in south-South geopolitical zone of Nigeria. 2. Mention the main precolonial occupations in the south-east geopolitical zone; 3. Describe the main mode of t:ransport in the south-east zone; 4. Discuss the levels of Socialisation in South-South 5. Pupils are guided into research the origin of the people of South-South6SOUTH-EAST GEOPOLITICAL ZONE (MODERN)By the end of the lesson, pupils should be able to: 1. Name thesbtes in the south-east zone; 2. Mention the capitals ofthe states in the south-east geopolitical zone;7MID TERM BREAK8SOUTH-EAST GEOPOLITICAL ZONES PEOPLES (ANCIENT) CONTDBy the end of åe lesson. Pupils should be able to: 1. Pupils in pairs, write the natural resources in South-East 2. Each pupils research on the past and present governors of South-East9NORTH-EAST GEOPOLITICAI ZONES PEOPLES (MODERN)By the end of the lesson, pupils should be able to. 1. Name the states that comprise the northeast geopolitical zone; 2. Give the capitals of the states in the north east zone; 3. Research the cmrrcnt governors of the northeast geopolitical zone; 4. Examine the natural resources of the northeast geopolitical zone.10NORTH-CENTRAL GEOPOLITICAL ZONE -The levels of socializtion in the north central geopolitical zone. -The traditions of origins of the people of the north central geopolitical zoneBy thc end ofthc lcsson, pupils should bc ablc to: 1. Give the names of the peoples of north central geopolitical zone and their various locations; 2. Mention the main pre-colonial occupation of the people of north central geopolitical zone; 3. the main pre-colonial mode of transport of the people of north central geopolitical zone; 4. Relate the levels of socialization in the north central geopilitical zone; S. Examine the traditions of origins of the people of the north central geopolitial zone.11NORTH-WEST GEOPOLITICAL ZONE (MODERN)By the end of the lesson, pupils be able to: 1. Mention the states that comprise North West geopolitical zone; 2. Name the capitals of the states in the North West geopolitical zone; 3. Research the natural resources of the North West geopolitical zone; 4. Examine the current governors of the North West geopolitical zone.12-13REVISION & EXAMINATION-General revision of-all the work of the term"
LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS
History Scheme of Work for Primary/Basic 3,History Scheme of Work for Primary/Basic 3,History Scheme of Work for Primary/Basic 3
WEEK,CLASS,Primary/Basic 3
WEEK,SUBJECT,History
WEEK,TERM,First Term
WEEK,TOPICS,Learning Objectives
1,NIGERIAN PEOPLE -Geopolitical zones of Nigeria. -The states that comprise the geopolitical zones,"By the end of the lesson, pupils should bc ablc to: 1. Explain the meaning ofa geopolitical zone; 2. Mention thc number of geopolitical zones in Nigeria 3. Examine the states that comprise thc geo-political zones 4. Justify the division of Nigeria into thc geo-political zones"
2,SOUTH-WEST GEO-POLITICAL ZONE PEOPLE (ANCIENT & MODERN),"By the end ofthe lesson, pupils should be able to: 1. Name the Nigerian peoples in the zone and their 2. Explain the main occupations of Yoruba and Egan people in the pæ-colonial times and post- colonial times. 3. Discuss the main mode of transportaticn of people of the geopolitical zone in the pre-colonial times and post-colonial times 4. Examine the various levels of the peoples of the South-West geopolitical zone; 5. Relate the origin of the people in the South West geopolitical zone."
3,SOUTH-WEST GEOPOLITICAL ZONE IN NIGERIA (ANCIENT ),"By die end offfe lesson, pupils should be able to: 1. Name the Nigerian people in South-West geopolitial zone and their locations; 2. list the states in the South- West geopolitical zones; 3. Explain the main pre-colonial ocupations in the South-West zone; 4. Describe the main modes of transport in the zone; 5. Examine the social organization in the South-West South geopolitical zone. 6. Analyze the political organization of the peoples of the South-South zone; 7. Relate the various tradition of the people of the South-South zone."
