0,1,2
,CLASS,Primary/Basic 2
,SUBJECT,Civic Education
,TERM,Second Term
WEEK,TOPICS,Learning Objectives
1,Welcome Test Revision of First Term,Pupils should be able to: i. Discuss some topics taught in first term ii. Importance of civic education. iii.Honesty-The importance of telling the truth always
2,Community -Meaning of community – Types of community -Modern communites/institution e.g. School community,Pupils should be able to: i. explain the meaning of a Community ii. identify types ofcommunity with examples iii. describe the various types of community
3,"Meaning and importance of greeting Members of the community -Father -Mother -Siblings -Community Leaders Balee, chief, Obi and Emir","pupils should be able to: i. outline members of the community -Father ii. identify the roles of community leaders. iii. differentiate between community leaders(Balee, Chief, Obi and Emir)"
4,Rules in the community -Obedience -loyalty -Cooperation -Peaceful coexistence -Orderliness -Sanitation -Respect,"Pupils should be able to; – explain the meaning of Rules’ – outline Rules in thcommunity, – describe each rules in the community"
5,Community leaders e.g •Yoruba-Oba -Igbo-Eze -Benin-Enugo -Alupo-Etsu -Ebira-()hinoyi -Other title holders in the communit,Pupils should be able to: i. explain who a leader is ii. identify at least five ethnic group Nigeria iii. describe each title leader
6,Roles of community leaders – settlement of disputes -ensuring peace – organizing community work – link between the government and the community,"By the end of this lesson, pupils should be able to: i. explain the roles of community leaders ii. identify the roles of community leaders iii. differentiate between dispute and peace"
7,MID-TERM BREAK,MID-TERM BREAK
8,Qualities of a community leader -Caring -Wise -Patient -Courage Intelligent -Integrity -Honesty,"By the end of this lesson, pupils should be able to: i. identify the qualities of a community leader ii. explain atleast four quality of a community leader iii. outline the importance of those quality"
9-10,"Kinds of work in our community e.g -Farming -Weaving -Woodwork -Cattle rearing -Trading -Fishing Kinds of works in our modern community -A Doctor -An Engineer -A lav,yer -A teacher -A soldier A pastor Reasons for workinø",Students should be able to: i. explain reason why we work ii. identify at least six types of work in the local community iii. describe the tools used to work done in the community
11,Conscience -Meaning -Man’s possession of free will to do good or evil -Man’s feelings when he does evil-guilt conscience coupled with restofmind,"Pupils should be able to: i. Explain the meaning of Conscience ii.Discuss the word joy, guilt iii. Importance of Conscience to our daily lives"
11,REVISON,REVISON
12,EXAMINATION,EXAMINATION
