0,1,2
"LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLSInformation Technology Scheme of Work for Primary/Basic 5 CLASSPrimary/Basic 5 SUBJECTInformation Technology TERMFirst TermWEEKTOPICSLearning Objectives1REDINESS TEST/REVISION 2Exploration of files from the system -Identify files to be copied – Copying files from one directory to anotherBy the end of the lesson, pupils should be able to: i. identify the different form of files and where they are saved ii. experiment the process of copying files from one directory to another3Keyboard short cutsBy the end of the lesson, pupils should be able to: i. Outline the different types of keyboard short cuts4Introduction to intemet -Meaning -History -TerminologiesBy the end of the lesson, pupils should be able to: i. Explain the term internet ii. Discuss the history of intemet iii. Articulate the various internet terminologies5Networking -Definition -Types, importance and useBy the end of the lesson, pupils should be able to: i. explain networking ii. outline the importance of networking, the types and its uses6Internet Browser -Definition -List of browser and its uses –By the end of the lesson, pupils should be able to: i. explain the meaning of internet broser ii. outline different types of internet browser and their uses7MID TERM BREAK8Types of Visual Based Programming LanguageBy the end of the lesson, pupils should be able to: i. identify various types of visual based programming Languages(Block Code) such as Scratch, Mine, craft, Alice, MIT app Inventor etc 9Types of Text Based Programming Languages and their uses.By the end of the lesson, pupils should be able to: i.identify various types of Text Based Programming Languages such as HTML. CSS. C++. Python. Java, PHP etc10Introduction to Web and App DevelopmentBy the end of the lesson, Pupils should be able to: i. understand and explain the difference between web and app development11REVISION 12REVISION 13EXAMINATION","LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLSInformation Technology Scheme of Work for Primary/Basic 5 CLASSPrimary/Basic 5 SUBJECTInformation Technology TERMFirst TermWEEKTOPICSLearning Objectives1REDINESS TEST/REVISION 2Exploration of files from the system -Identify files to be copied – Copying files from one directory to anotherBy the end of the lesson, pupils should be able to: i. identify the different form of files and where they are saved ii. experiment the process of copying files from one directory to another3Keyboard short cutsBy the end of the lesson, pupils should be able to: i. Outline the different types of keyboard short cuts4Introduction to intemet -Meaning -History -TerminologiesBy the end of the lesson, pupils should be able to: i. Explain the term internet ii. Discuss the history of intemet iii. Articulate the various internet terminologies5Networking -Definition -Types, importance and useBy the end of the lesson, pupils should be able to: i. explain networking ii. outline the importance of networking, the types and its uses6Internet Browser -Definition -List of browser and its uses –By the end of the lesson, pupils should be able to: i. explain the meaning of internet broser ii. outline different types of internet browser and their uses7MID TERM BREAK8Types of Visual Based Programming LanguageBy the end of the lesson, pupils should be able to: i. identify various types of visual based programming Languages(Block Code) such as Scratch, Mine, craft, Alice, MIT app Inventor etc 9Types of Text Based Programming Languages and their uses.By the end of the lesson, pupils should be able to: i.identify various types of Text Based Programming Languages such as HTML. CSS. C++. Python. Java, PHP etc10Introduction to Web and App DevelopmentBy the end of the lesson, Pupils should be able to: i. understand and explain the difference between web and app development11REVISION 12REVISION 13EXAMINATION","LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLSInformation Technology Scheme of Work for Primary/Basic 5 CLASSPrimary/Basic 5 SUBJECTInformation Technology TERMFirst TermWEEKTOPICSLearning Objectives1REDINESS TEST/REVISION 2Exploration of files from the system -Identify files to be copied – Copying files from one directory to anotherBy the end of the lesson, pupils should be able to: i. identify the different form of files and where they are saved ii. experiment the process of copying files from one directory to another3Keyboard short cutsBy the end of the lesson, pupils should be able to: i. Outline the different types of keyboard short cuts4Introduction to intemet -Meaning -History -TerminologiesBy the end of the lesson, pupils should be able to: i. Explain the term internet ii. Discuss the history of intemet iii. Articulate the various internet terminologies5Networking -Definition -Types, importance and useBy the end of the lesson, pupils should be able to: i. explain networking ii. outline the importance of networking, the types and its uses6Internet Browser -Definition -List of browser and its uses –By the end of the lesson, pupils should be able to: i. explain the meaning of internet broser ii. outline different types of internet browser and their uses7MID TERM BREAK8Types of Visual Based Programming LanguageBy the end of the lesson, pupils should be able to: i. identify various types of visual based programming Languages(Block Code) such as Scratch, Mine, craft, Alice, MIT app Inventor etc 9Types of Text Based Programming Languages and their uses.By the end of the lesson, pupils should be able to: i.identify various types of Text Based Programming Languages such as HTML. CSS. C++. Python. Java, PHP etc10Introduction to Web and App DevelopmentBy the end of the lesson, Pupils should be able to: i. understand and explain the difference between web and app development11REVISION 12REVISION 13EXAMINATION"
LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS
Information Technology Scheme of Work for Primary/Basic 5,Information Technology Scheme of Work for Primary/Basic 5,Information Technology Scheme of Work for Primary/Basic 5
,CLASS,Primary/Basic 5
,SUBJECT,Information Technology
,TERM,First Term
WEEK,TOPICS,Learning Objectives
1,REDINESS TEST/REVISION,
2,Exploration of files from the system -Identify files to be copied – Copying files from one directory to another,"By the end of the lesson, pupils should be able to: i. identify the different form of files and where they are saved ii. experiment the process of copying files from one directory to another"
3,Keyboard short cuts,"By the end of the lesson, pupils should be able to: i. Outline the different types of keyboard short cuts"
