0,1,2
,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS.,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS.
,Christian Religious Studies Scheme of Work for Primary/Basic 1,Christian Religious Studies Scheme of Work for Primary/Basic 1
,CLASS,Primary/Basic 1
,SUBJECT,Christain Religious Studies
,TERM,First Term
WEEK,TOPICS,Learning Objectives
1,God the Creator,"By the end of the lesson, pupils should be able to: (i) explain who God is (ii) discuss the attributc of God; (iii) mention what God created (i.e. non-living things stars, moon, water e.t.c"
2,God the Creator,"By the end ofthe lesson, pupils should be able to: (i) list some of the things created by God (living things); (ii) explain why God created man and things; (iii) enumerated the need to love and mainhin God’s creature"
3,God’s goodness,"Bythe end ofthelesson, pupils should be able to: (i) Define goodness (ii) Explain why God is good to us (iii)Mention good things we can do to others."
4,God the giver of good things,"By the end of the lesson, pupils should be able to: (i) Enumerate the evidence of God’s goodness (ii) Mention some of the good things God has done for them and their family (iii) appreciate God for what He has done for us."
5,God’s gift of His son,"By&e end offre lesson, pupils should be able to: (I) discuss the visitofAngel Gabriel to Mazy and Joseph (ii) narrate tie birth ofJesus why we celebrate"
6,God’s gift of his Son,"By the end of the lesson, pupils should be able to: (i) discuss the visit of the three Wise Men; (ii) list the gift presented to Jesus; (iii) explain the significant of the gift."
7,MID TERM BREAK,MID TERM BREAK
8,God is our father,"By the end of the lesson, pupils should be able to: (i) explain how God is our father; (ij) State the duties and responsibilities of father to their children; (iii) highlight the duties of children to their parents."
9,God is our father,"By the end of the lesson, pupils should be able to: (l) explain what we must do as children 0f God; (ii) identify things God docs for us as children of God; (iii) discuss instanccs where the Bible refers to God as our father"
10,REVISION,REVISION
11-12,EXAMINATION,EXAMINATION
