0,1,2
,CLASS,Primary/Basic 4
,SUBJECT,Mathematics
,TERM,Second Term
WEEK,TOPICS,Learning Objectives
1,REVISION OF Ist TERM’S WORK. Resumption test -Fractions -Proper fraction -Improper -Mixed fraction -Change of improper fraction to mixed fraction and vice -Quantitative reasoning,Pupils shoild be able to: i. identify some difficult topics from their 1st term’s work ii. demonstrate and explain the definition of fraction iii. identify types of fractions iv. differentiate between types of fractions v. represent fractions on a number line. vi. solve quantitative reasoning on fraction
2,Fractions Equivalent fractions Addition and subtraction of like and unlike fracåons. Reducing to lowest term Quantitative reasoning,"Pupils should be able to: i. obtain equivalent fractions of a given fraction. ii. calculate addition and subtraction of like and unlike terms fractions. iii. apply fractions in sharing commodities in home, market, school etc iv. solve quantitative reasoning on equivalent fractions."
3,Decimal fractions -Addtion and subtraction of decimals. -Quantitative reasoning,"Pupils should be able to: i. identify decimal fractions up to tenths, hundredth and thousandth ii. change from fractions to decimals iii. calculate addition and subtraction of decimals iv. solve quantitative reasoning involving decimal problems"
4,"Multiplication of decimals -Division of decimals -Changing common fractions with 10, 100, and 1000, as denominator to decimal -Quantitative Reasoning","Pupils should be able to; i. calculate decimals by multiplying with 1 -digit number ii. calculate decimals by dividing with 1-dgit number iii. discover decimals by multiplyang with 10. 100 and 1,000 iv. divide decimals with 10, 100. 1000 v. use numbers greate than 10 to multiply and divide decimals."
5,Square -Square Root of whole numbers -Quantitative reasoning,"Pupils should be able to: i. calculate the square of numbers from 1-20 ii. identify the perfect squares in a set of numbers e.g. 1, 4, 9, 16 are the perfect squares. iii. find the square root of perfect squares up to 400 iv. solving word problems involving the calculation of square of numbers and square root of numbers. v. solve quantitative reasoning"
6,ESTIMATION -Round up of numbers -Round up on addition and subtraction of numbers -Quantitaüve reasoning,Pupils should be able to: i. identify actual numbers. solve round-up numbers. ii. calculate addition and subtraction of round-up of numbers. iii. interpret and solve real life problems on estimation. iv. solve quantitative reasoning.
7,Review of first half terms and periodic test,MID-TERM BREAK
8,MONEY -Conversion of money -Addition and Subtraction -Profit and Loss -Word problems -Quantitative reasoning,Pupils should be able to: i. convert naira to kobo and vice versa. ii. calculate the sum and difference of money. iii. differentiate between profit and loss. iv. solve real life problems on profit and loss. v. solve quantitative reasoning on money.
9,MONEY -Multiplication of money -Division of money -Word problem -Quantitative reasoning,Pupils shwld be able to. i. use number to multiply money ii. divide money by whole number iii. Solve real problems on multiplication and division of money (Online shopping to be Included) iv. solve quantitative reasoning problems.
10,OPEN SENTENCE -Addition and Subtraction -Multiplication -Division -Quantitaüve reasoning,"Pupils should be able to: i. illustrate and explain the tem open sentence. ii. predict the missing numbers in an open sentence. iii. tell stories on open sentence, write and solve the equations, iv. solve quantitative reasoning involving open sentence"
11,REVISION,REVISION
12,REVISION,REVISION
13,EXAMINATION,EXAMINATION
