0,1,2
,CLASS,Primary/Basic 6
,SUBJECT,Physical and Health Education
,TERM,Third Term
WEEK,TOPICS,Learning Objectives
1,REVISION AND READINESS TEST,
2,Food and nutrition,"By the end of the lesson, pupils should be able to: 1. discuss the concept of food and nutrition 2. mention sources of food nutrient 3. highlight the nutritional deficiency disease 4. investigate the characteristics of those defficiency disease"
3,Food and nutrition,"By the end of the lesson, pupils should be able to: 1. mention the food nutrient 2. explain the effect of family size on nutrition 3. investigate the characteristics of nutritional deficient person"
4,Martial Art History of Judo,"By the end of the lesson, pupils should be able to: 1. discuss brief history of judo 2. itemize equipment of judo 3. analyze the importance of judo"
5,Martial Art Rules of judo and Skills,"By the end of the lesson, pupils be able to: 1. state rules of judo 2. list terminologies in judo game 3- demonstrates the judo basic skills"
6,Swimming Strokes,"By the end of the lesson, pupils should be able to: 1. discuss meaning swimming 2. demonstrate swimming strokes 3. explain most dificult easiest swimming stoke"
7,MID TERM BREAK,MID TERM BREAK
8,"Pathogens, diseases and prevention:","By the end of the lesson, pupils should be able to: i. discus concept of disease and pathogen 2. mention types of pathogen e.g. bacterial, virus. 3. distinguish between disease and pathogen 4. Investigate ways of preventing diseases"
9,"Diseases; Meaning, signs and symptoms","By the end of the lesson, pupils should be able to: 1. discus concept of disease 2. identify between signs and symptoms of diseases 3. compare between sickness and illness"
10,Meaning of communicable and noncommunicable diseases,"By the end of the lesson, pupils should be able to: 1. define communicable and noncommunicable diseases 2. list kinds of communicable diseases 3. give concepts of noncommunicable diseases 4. identify types of noncommunicable diseases"
11,Issues and Challenges in PHE,"By the end of the lesson, pupils should be able to: 1. discus Issues and Challenges in sports 2. mention different types of issues and challenges drugs 3. list different types of drugs 4. highlight the uses of drug 5. investigate the effects of drinking and smoking 6. summarize the effects of drugs on athlete"
12,REVISION,
13,EXAMINATION,
