0,1,2
Asa,Ila kiko ni ile Yoruba,"Ni opin idanilekoo, åwon akéköö yoo le: i. Salaye ki ni llå kiko ii. Dårüko orisisi ilå to wa låwüjo iii. Jiroro nipa ökoökan won. iv. Salaye a ‘kobå ti oIajü se fun å ilå kiko v. Dahun Ibeere Iori eko yii"
Lit,Igbågbö åwon Yorüba’ nipa Olodumaré,"Ni opin idanilekoo, åwon akéköö yoo le: i. So oriki 0lodumare ii. Jiroro nipa Igbågbo åwon Yorübå nipa Olodumare iii. Dårüko åwon oruko miiran ti Yorubå n pe olodumaré åti iltumo won iv. Dåhün ibééré lori"
10Ede,Âkànlò èdè iti ìtumo won,"Ni opin idanilekoo, åwon akéköö yoo le: i. So orisi orikì àkànlo òdè ii. Daruko àwon Âkànlò édè iii. Dahûn ìbéèrê lori eko iv. L0 won ni gbolohun kikün"
Asa,Âsà Isinkü ni ile Yoruba,"Ni opin idanilekoo, åwon akéköö yoo le: i. Sàlàyé ki ni àsà lsìnku ni ilè Yorûba’ ii. Jiròrò nipa ohun ti a n l0 adie irànà fun iii. Sàlàyé bi a se n toju oku ati òku’ sinsin iv. Dahun Ibeere Iori eko"
Lit,Iwe kika ti Ijoba yan,"Ni opin idanilekoo, åwon akéköö yoo le: i. So nipa onköwé ii. itån nåå ni soki iii. ka iwé naa ni åkå dån morån, iv. Wo ltumo si åwon oro tuntun to suyo ninu ibi kikå naå. v. So koko ti Itan naa dålé."
11Ede,Oro Aponlé,"Ni opin idanilekoo, åwon akéköö yoo le: i. Salaye kl ni oro åpönlé? ii. Da ise ti öro åpönle se ninu gbolohün mö. iii. Toka si åpönle ninu gbolohün iv. dåhun Ibeere Iori eko"
Asa,oriki åbiso nile Yorubå åti idilé.,"Ni opin idanilekoo, åwon akéköö yoo le: i. Ki 0riki oruko åbiso ii. Se åpeere oruko åbiso iii. Dåruko åså åti ise to rö mé oruko åbiso iv. jlroro nipa påtåki oruko åbiso"
Lit,Eré Osupa,"Ni opin idanilekoo, åwon akéköö yoo le: i. So itumo ere osupa ii. Dåruko orisirisi ere osupa ii. Såpejuwe bi a ti se åwon ere wönyi iv. Jiroro nipa ofin to dé eré kookan v. dåhün ibeere Iori eko"
12Ede,Létå Gbefé ati aibefe,"Ni opin idanilekoo, åwon akéköö yoo le: i. Salaye Isori letå ti o wa ii. Såpéjuwe ilana ti a fi n ko létå nåå iii. Toka si awon ori örö Iåbé leta kookan. iv. Dahun Ibeere to jeyo. iv. dåhün Ibeere lori eko yii"
Asa,Oye jije,"Ni opin idanilekoo, åwon akéköö yoo le: i. Salaye itumo oyé jije ii. So nipa bi a se n joyé nile Yorübå iii. Toka Si orisisi oyé ti an je iv. Jiroro nipa awon Ohun élo oye jije v, dåhün ibééré Iori eko yii"
Lit,lwé Kikå – Itan Ijåpa’ ati omo Alåkårå.,"Ni opin idanilekoo, åwon akéköö yoo le: i. Salaye itan ijåpå ati omo Alåkårå. ii.Dåruko awon eda inu itån yii. iii. So iru eranko ti Ijåpå jé. iv. Jiröro nipa åwon koko t o jeyo v. dåhun Ibeere lori eko yii"
13,"Atunyewo eko lori ise saå yi ninu Édé, Äså åti litereso","Atunyewo eko lori ise saå yi ninu Édé, Äså åti litereso"
14,Idänwo saå kiini,
