0,1,2
LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEME OF WORK FOR PRIMARY SCHOOLS,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEME OF WORK FOR PRIMARY SCHOOLS,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEME OF WORK FOR PRIMARY SCHOOLS
History Scheme of Work for Primary/Basic 6,History Scheme of Work for Primary/Basic 6,History Scheme of Work for Primary/Basic 6
,CLASS,Primary/Basic 6
,SUBJECT,History
,TERM,First Term
WEEK,TOPICS,Learning Objectives
1,WELCOME TEST REVISION OF PRIMARY 5 SCHEME OF WORK,General revision of all Primary 5 History scheme of Work
2,CIVIL RULE IN NIGERIA FIRST REPUBLIC ;1960-1966,By the end of the lessoni pupils should be able to: i. Explain the meaning of civil rule ii.List the major political parties and leaders iiiList the features of cabinet system of government iv. Examine the achievement of Alhaji Tafawa Balewa v. Relate the reasons for the collapse of the first republic
3,CIVIL RULE IN NIGERIA SECOND REPUBLIC 1979-1985,"By the end of the lesson, pupils should be able to: 1. Give the name of the Political parties in the second republic and their leader 2. List the features of the presidential system of Government 3. Examine the achievement under the second Repubic of Sheu Shagari 4. Explain why the second republic felL 5. Explain the process of Civil War"
4,CIVIL RULE IN NIGERIA THIRD REPUBLIC 1992-1993,"By the end of the lesson, pupils should be able to: 1. Name the uo Political parties in the third republic 2. identify the presidential candidate in these parties 3. Identify the presidential candidate of these parties 4. Discuss the activities that led to the June 12 election and the function of Interim National Government ING"
5,CIVIL RULE IN NIGERIA (CONTD),"By the end of the lesson, pupils should be able to: 1 .List the major political parties that contested in 1999, 2003, 2007, 2011 , 2015 , 2019 elections ii. List the presidential candidates till date iii. Write the major achievements of each administration iv.Examine the short comings of each of these administration"
6,"MILITARY RULE IN NIGERIA ‘MAJOR GENERAL J.T.U. AGUNYI IRONSIJAN 15 JULY 25, 1966","By the end of the lesson, pupils should be able to: I.ExpIain the meaning of military coup d’etat 2.Classify the three arms of the military and their functions 3.List the characteristics of military Regime 4.Name the first military Head of state and the coup plotters of January 1966 5.List the causes and effects of the first military coup 6.Relate the shortcomings of Ironsi’s administration"
7,MID TERM BREAK,MID TERM BREAK
8,MILITARY RULE IN NIGERIA GENERAL YAKUBU GOWON 1966-1975,"By the end of the lesson, pupils should be able to: i. Explain the meaning of counter coup it. ii. Mention the achievements of General Yakubu Gowon iii Explain the challenges faced by the Gowonis administration iv Relate the reasons for the Nigerian civil war v. examine the effects of Nigerian civil war"
9-10,MILITARY RULE IN NIGERIA ; MURTALA/OBASANJO 1975-1979,"By tie end of the lesson, pupils should be able to: i.Discuss the Reasons for the emergence of the third military rule Murtala /Obasanjo ii. Identfythe major actors that led to the emergence of the regime iii. Idenüfy the achievements of the Murtala/Obasanjo regime iv. Explain the reasons for the end of the military rule in Nigeria on Oct 1979 v. Eplain the shortcomings of the Regime"
11,MILITARY RULE IN NIGERIA ; BUHARI /IDIAGBON 1983-1985,"By the end of the lesson, pupils should be able to: i. Name the military head of state and identify the major actors of the regime ii. Explain why the regime took over power from Alhaji sheu Shagari iii list the achievements of the regime iv. Relate the weakness of the Buhari/idiagbon Regime"
12,REVISION,Revision of First term work and examination
13,EXAMINATION,
