0,1,2
,CLASS,Primary/Basic 3
,SUBJECT,Civic Education
,TERM,Third Term
WEEK,TOPICS,Learning Objectives
1,Revision,Pupils as a class should be able to: -Answer questions on some topics from previous terms
2,Description of national symbols – National map -Coat arm -National anthem -National Pledge,Pupils should be able to: i. descibe the significance of each national symbols e.g. The eagle in the coat of arm represent strength -The green colour of the national flag stands for agriculture ii. recite the National anthem and National pledge
3,Description of national symbols -The coat of arms,Pupils should be able to: i. explain the feature of the coat of arm ii. discuss and describe what each features of the coat of am represents
4,The need for constituted authority of law and order -Protection of rights and dignity,Pupils should be able to: i. explain the meaning constituted authority’ ii. analyze the need for constituted authority iii. highlight ere imporunce of constituted
5,Difference between national symbol and other symbol e.g national symbols are for the entire country while other symbols are for group/organtzation,Pupns should be able m: i. Identify the importance of national symbols in the country ii. differentiate between national symbols and other symbols iii. draw the Nigeria national flag correctly
6,Respecting national symbols e. g stand attention,Pupils should be able to: i. discuss the importancc of respecting the national symbols ii. recite the National anthcm and National pledge correctly iii. demonstrate the respect for national symbols
7,MID-TERM BREAK,MID-TERM BREAK
8,Highway codes,Pupils should be able to: i. explain the meaning of highway codes ii. identify simple highway codes iii. Identify the importance of highway codes
9,Highway codes Contd,Pupils should be able to: i. explain in details the simple highway codes ii. demostrate ways to take caution when crossing the road
10,"Respecting other symbols Traditional leaders, staff of office, religious leaders, highway codes",Pupils should be able to: i. identify other symbols that can be respected ii. describe who religious leaders and traditional leaders are. iii. explain the meaning of staff of office
11,Respecting other national symbols e.g. -National anthem -The constitution -National -currency -Maze •National -Assembly,Pupils should be able to: i. demonstrate respect for national symbols e.g. stand at attention ii. highlight Other symbols that can be respected. iii. discuss what the maze represents
12,Revision,Revision
13,EXAMINATION,EXAMINATION
