0,1,2
,CLASS,Primary/Basic 2
,SUBJECT,Civic Education
,TERM,Third Term
WEEK,TOPICS,Learning Objectives
1,Revision/welcome Test,Pupils should be able to: -Answer some question on last term’s topics
2,Community leadership in Nigeria traditional setting,Pupils should be able to; i. explain who a leader is with examples ii. identify the three major ethic group in Nigeria iii. outline the traditional title of the community leadership in the major ethnic groups
3-4,Duties of a community leader,Pupils should be able to: i. explain the meaning Duties ii. discuss the duties of a community leader Same groups iii. Outline the Characteristics of a good leader
5,Reward of community leaders,Pupils should be able to: i. explain ffe meaning of reward ii. outline the importance of reward iii. identify ways community leaders are rewarded.
6,Other duties of a community leader -Keeping peace/Ensuring peaceful coexistence among his people -Organizing Community work -Ensure the provision of basic social amenities for the citizens,"Pupils should be,able to: i. Identify other duties of community leaders ii. Explain the duties of other iii. Outline the importance of the community leaders duties to the society"
7,MID-TERM BREAK,MID-TERM BREAK
8,Humility -Meaning -Reason why people should be humble,Pupils should be able to: i. describe the word Humility ii. Identify reasons why people should be humble e.g to exalt and recommend iii. highlight the advantages of humility
9,Qualities of Community leadership,Pupils should be able to: i. Explain Who a leader is ii. highlight atleast 10 qualities of community leaders iii. identify importance of good qualities of community leaders
10,Road Signs and Traffic light -meaning -types -importance of road signs and traffic light,"By the end ofthis lesson, people should be able to i. explain the meaning of roadsigns and traffic light ii. identify and interprete various road signs and traffic light iii.highlight the importance of traffic light and signs iv. differentiate between signs and traffic light"
11,Revision,Revision
12,EXAMINATION,EXAMINATION
