0,1,2
LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS
English Studies Scheme of Work for Primary/Basic 5,English Studies Scheme of Work for Primary/Basic 5,English Studies Scheme of Work for Primary/Basic 5
,CLASS,Primary/Basic 5
,SUBJECT,English Studies
,TERM,First Term
WEEK,TOPICS,Learning Objectives
1,"(a) Speech work: Intonation patterns, stress and rhyme","By thc end of thc lesson, pupils should be able to: i. identify rising and falling tone; ii. use the tones and stress in songs; iii. compare the rhythmic pattern of each song with one another. iv) compose the different rhymes"
1,(b) Structure: Review of tenses,"By the end of the lesson, pupils should be able to: i. list the types of tense ii. use the tenses in sentences, iii. interpret actions in pictures in accordance to time (tenses) iv. classify the tenses of sentences used in a given passage."
1,(c) Comprehension: (Reading Skills) Reading to comprehend main ideas,"By the end of the lesson, pupils should be able to: i. identify the topic sentence in each paragraph; ii. establish the relationship between the topic sentence(s) and the main idea in a given passage; iii. attach contextual meanings to new words found in a given passage."
1,(d) Vocabulary Development Words associated with family relation,"By the end of the lesson, pupils should be able to: i. list minimum of fifteen related words for family relationship, ii. explain the following terms marriage, birth, couple, kinship. uncle, aunt, nephew, niece, cousin, brother-in-law iii. use the sentences iv. compose compositions on the family."
1,e. Writing: Essay Writing on “How I spent my Last Holiday”.,"By the end of the lesson, pupils should be able to: i. identify the features of a narrative essay ii. discuss their experiences on the previous holiday iii. write an essay on how they spent their last holiday"
1,(f) Dictations for the Week,"Learners are to be guided to master the spellings and meanings of the following words: excited, terminus, rapidly, whizzing, numerous, famous, unique, thoroughly, invitation, recklessly"
2,(a) Speech work: vowel sounds /æ/ and /a:/,"By the end of the lesson, pupils should be able to: i. identify and distinctively pronounce the vowel sounds / eel and /a:/. ii. draw the contrast between the sounds when used in words iii. use each word in sentence."
2,(b) Structure: Making Sentences with Modal Auxiliaries,"By the end of the lesson, students should be able to: i. explain and provide examples of modal auxiliaries (must, ought to, will, have to, shall, can, must etc.) ii. use the modal auxiliaries in sentences ii. infer the functions of modal auxiliaries in each sentence (such as futurity, possibility, certainty, willingness, unwillingness, obligation, permission, request) iv, compare using of modal auxiliaries for making polite requests with casual requests."
2,(c)Comprehension and Vocabulary: Health and Safety,"By the end of the lesson, students should be able to: i. identify words related to health and safety in a given passage ii. write the meaning of the identified words and use them in another meaningful sentence. iii. demonstrate how each \vord is applicable to health and safety iv. derive answers from the passage to the given questions"
2,(d) Writing: Letter writing Guided Informal Letter,"By the end of the lesson, pupils should be able to: i. identify informal letters; ii. discuss the features of an informal letter; iii. write a letter to a close relative or a friend in another town."
2,(e) Dictation for the week,"Learners are to be guided to learn the following words: Monogamy, polygamy, dormitory, habitation, apartment, orphanage, surgery, infirmary, dispensary, hospice"
3,(a) Speech work:,"By the end of the lesson, pupils should be able to: i. identify and pronounce vowel sounds /I/, /u/ and /u:/ correctly ii. write the words containing the sounds, iii. construct sentences with the pairs of sounds"
,(b) Structure: Active voice and Passive Voice,"By the end of the lesson, students should be able to: i. identify active and passive sentences ii. change active sentences to passive sentences; iii. change passive sentences to active sentences; iv. analyze the features of active voice and passive voice"
,(c)Comprehension and Vocabulary: Consumer Rights.,"By the end of the lesson, pupils should be able to: i. differentiate between main ideas and supporting ideas in each paragraph; ii. recognize the unfamiliar words in a given passage iii. Construct sentences with the new words iv. establish the relationships between the main ideas and connecting ideas using evidence from the"
,d) Supplementary Reading: Story Book,"By the end of the lesson, pupils should be able to: i share with other pupils the story read; ii discuss lessons learnt from the book; iii relate events in the story to their personal lives."
,(e) Dictation for the week:,"Learners are to be guided to learn the following words: Ablaze, institution, sachet, national, measurement, rhetoric, academics, fashion, village, transaction"
4,Speech Work Sound /u/ and /u:/,"By the end of the lesson, pupils should be able to: i. identify and pronounce vowel sounds /u/ and /u:/ correctly ii. write the words containing the sounds, iii. construct sentences with the pairs of sounds"
4,(b) Structure: Using Adjective in Speaking and Writing,"By the end of the lesson, pupils should be able to: i. describe adjective with adequate example ii. use adjective for comparison(positive, comparative, superlative) iii. compose different sentence using adjective infer function of adjective in a sentence"
4,(c) Comprehension: Paragraph from children’s novel,"By the end of the lesson, pupils should be able to: i. read and analyze selected children’s novel ii. identify keywords/sentence that signal main ideas iii. put the keywords in sentence iv. derive factual information from selected text v. establesh relationship between surporting ideas using evidence from the passage vi. infer implied meaning of ideas in a passage"
4,(d) Writing: Descriptive,"By the end of the lesson, pupils should be able to: i. mention and explain each features of descriptive essay ii. describe their best friend iii. write a descriptive essay on ‘my favorite friend’"
4,(e) Dictations for the week,"Learners are to be guided to learn the following words: dialect, rhythm, transformation, seizure, psychology, unprecedented, gymnastics, aesthetics, accommodation, occasion"
5,(a) Speech work: Minimal Pairs Vowel sounds /e/ and /o:/,"By the end of the lesson, pupils should be able to: i. recognize and pronounce the sounds /e/ and /0:/ correctly ii. generate ten words containing the sounds iii. contrast between the sounds when used in words construct sentences with the pairs of sounds."
5,(b) Structure: Adverbs,"By the end of the lesson, students should be able to: i. describe adverbs with adequate examples ii. use adverbs for comparison (positive, comparative and superlative) iii. compose different sentences using adverbs iv. infer functions of adverbs in sentences"
5,"c) Comprehension: Emphasis on supporting details, tone, mood and purpose","By the end of the lesson, pupils should be able to: i. identify the rnain idea in a text; ii. analyze a text to bring out its mood and purpose; iii. relate the issue raised in the text to their real life experiences iv. describe the supporting details using evidence from the passage"
5,(d)Writing: Guided Formal Letter Writing,"By the end of the lesson, pupils should be able to: i. list and describe features of formal writing ii. analyze the style and pattern of sentence structure use for official/formal letter iii. write formal letter"
5,(e) Dictation for the week,"Learners are to be guided to learn the following words: fallacy, mismanagement, implicite, privilage, indigent, magnanimous, machine, escorter, information, ridiculous,"
6,(a) Speech work: Making Polite Requests,"By the end of the lesson, pupils should be able to: i. recognize a situation where need to politely request something ii. make a polite request iii. differentiate between a polite and rude request/answers iv. carry on a polite and respectful conversation"
6,(b) Structure: using direct and indirect speech,"By the end of the lesson, pupils should be able to: i. identify sentences reported speech ii. change direct speech to reported speech and vice versa iii. criticize ten different sentence to discover the basic rules guiding change of direct speech to reported speech"
