0,1,2
,CLASS,Primary/Basic 4
,SUBJECT,Security Education
,TERM,Second Term
WEEK,TOPICS,Learning Objectives
1,Introduction to neighborhood security -meaning of neighborhood security,"By the end of the lesson, pupils should be able to: (i) define neighborhood security, (ii) list the aims and objectives of neighborhood security, (iii) explain the importance of neighborhood security"
2,Neighborhood crimes and prevent tips,"By the end of the lesson, pupils should be able to: (i) explain the meaning of crime, (ii) cite some examples of crimes in the neighborhood e.g. stealing, sexual harassment etc. (iii) state tips on the prevention of crime in the neighborhood"
3,Keeping neighborhood safe and clean,"By the end of the lesson. pupils should be able to: (i) explain tie meaning of safety and deanliness, (ii) analyses some safety precautions e.g. to be observant etc, (iii) list the various ways of keeping tie neighborhood safe/clean."
4,Meaning ocf danger,"By the end of the lesson pupils should be able to: (i) define the term danger, (ii) classify the types of danger in the society e.g.physical, emotional, spiritual etc, (iii) generate some measure in curtaining danger or dangerous acts."
5,Crimes and Criminal behaviour,"By the end of the lesson pupils should be able to: i. describe the effect of crime ii. cite some criminal behaviours of people in the neighbourhood e.g vandalism, stealing etc."
6,Avoiding dangerous places and peoples,"By the end of the lesson, pupils should be able to: (i) identify dangerous places in the neighborhood, (ii) identify dangerous people in the society e.g. thieves, rapists, kidnappers, etc and other undesirable elements"
7,MID TERM BREAK,MID TERM BREAK
8,Types of neighborhood security,"By the end of the lesson, pupils should be able to: (i) identify types of neighborhood security personnel e.g. local guards, vigilante groups, neighborhood watch, Lagos State Neighborhood Safety Corps etc, (ii) formulate tips and ways of relating with security personnel in the society"
9,Types of neighborhood security (contd) -functions of the different agents,"By the end of the lesson, pupils should be able to: i. highlight different types of neighborhood e.g. local guards (OPC), vigilante groups, ii) state the function of different groups mentioned."
10,Types of neighborhood security (Contd) -neighborhood watch – Lagos neighborhood safety corps (LNSC),"By the end of the lesson, pupils should be able to: i. state the functions of neighborhood watch, ii. examine the activities of the LNSC iii. Assess the functions of LNSC"
11,Revision,Revision
12,REVISION,REVISION
13,EXAMINATION,EXAMINATION
