0,1,2
,CLASS,Primary/Basic 1
,SUBJECT,Christian Religious Studies
,TERM,Third Term
WEEK,TOPICS,Learning Objectives
1,Jesus our Saviour,"By the end of thc lesson, pupils should be ablc to: 1) explain the meaning of Jesus; 2) discuss the saving acts of Jesus; 3) namc people that Jesus saved in the Bible"
2,Jesus our Saviour,"By the end of the lesson, pupils should be able to: l) explain the meaning of Emmanuel; 2) narrate how Jesus saved the woman caught in the act Of adultery; 3)identify ways we have been saved by Jesus."
3,Jesus our brother and friend,"By the end of the lesson, pupils should be able to: 1)Define a brotherly love 2)Mention some they can do to show brotherly love 3)List the Apostles whom Jesus called His brothers"
4,Jesus our brother and friend (Contd.),"By the end of the lesson, pupils should be able to: 1)Mention some people in the Bible Jesus called His friends 2)Exp1ain what Jesus does for us as His brothers and friends 3)Describe the things we must do as brothers and friends of esus"
5,Jesus commands us to love,"By the end of the lesson, pupils should be able to: l)define love 2)discuss the importance of loving one and other 3)identify the qualities of Godly (Christian) love"
6,Jesus commands us to love,"By the end of the lesson, pupils should be able to: l)define the word command 2) reciæ the Bible verse where Jesus commands us to love one another 3) describe the things Jesus asked His disciples to do in demonstration of their Jove for God"
7,MID-TERM BREAK,MID-TERM BREAK
8,Jesus wants us to obey and keep God’s commandments,"By the end ofthe lesson, pupils should be able to: l)define commandment 2) recite the 10 commandments 3)explain why God gave us cornmandments"
9,Jesus wants us to obey and keep God’s commandments (Contd.),"By the end of the lesson, pupils should be able to: l)Define ()bedience 2) Mention people in the Bible that obeyed God 3) Discuss what they do to show obedience o God 4) Describe the rewards people received for obeying God"
10,REVISION,REVISION
11-12,EXAMINATION,EXAMINATION
