0,1,2
,CLASS,Primary/Basic 5
,SUBJECT,Security Education
,TERM,Second Term
WEEK,TOPICS,Learning Objectives
1,Student readiness assessment and revision of 1st term work,"By the end of the lesson, pupils should be able to: i) evaluate the 1st term work and treating the 1st term past questions, ii) Responds to various questions,"
2,-Definition and meaning of govemment,"By the end of the lesson. pupils should be to: I) identify the followings as an agent of personal security, i) parents, ii) School, iii) community; 2) discuss their views on the above mentioned agents"
3,Roles of parent on child’s personal security,"By the end of the lesson, pupils should be able to: i) list the roles of parents on child’s personal security, ii) explain different roles of parents on child’s personal security."
4,Roles of peer group on child’s personal security,"By the end of the lesson, pupils should be able to : i) define the term “Peer group”, ii) highlight the influence of peer group on child’s personal security."
5,Reasons for personnal security,"By the end of the lesson, pupils should be able to i. explain reasons for personnal security ii. enumerate the importance of personnal security"
6,Duties and responsibilities of a child in respect of personnal security,"By the end of the lesson, pupils should be able to i. explain the word responsibility ii. classify the duty of a child in respect to personnal security"
7,MID TERM BREAK,MID TERM BREAK
8,REVISION,
9,REVISION,
10,REVISION,
11-12,REVISION/EXAMINATION,REVISION/EXAMINATION
