0,1,2
,CLASS,Primary/Basic 3
,SUBJECT,Physical and Health Education
,TERM,Third Term
WEEK,TOPICS,Learning Objectives
1,Readiness test/ Revision of 2nd term work,Readiness test/ Revision of 2nd term work
2,Swimming,"By the end of leson; pupils should be able to i. meaning of swimming (Aquatic) ii. Mention the basic style/stroke in swimming e.g freestyle, backstroke, butterfly, breast stroke etc. iii. list the basic styles in swimming"
3-4,Swimming,"By the end ofthe less on; pupils should be able to i. Demonstrate the basic skill in swimming ii. Perform the basic style/stroke in swimming free style, crawl, brust stroke, back stoke buterfly etc iii. Explain the safety rules in swimming iv. State the health benefit of swimming"
5,Health and hygiene pollution -Types of pollution,"By the end of the lesson, pupils should be able to i. State meaning of pollution ii. Mention types of pollution, air pollution, noise pollution, land pollution. water pollution iii. Explain the kinds of pollution (Noise pollution in chemical pollution, air pollution etc)"
6,Pollution -Types of pollution -And Prevention,"By the end of the lesson, pupils should be able to i. Describe the kind of pollution, air pollution, noise pollution, chemical pollution ii. State the meaning of noise pollution. air pollution and chemical pollution iii. Describe ways of preventing pollution e.g air pollution, noise polution and chemical polluüon iv. Mention the effects of air pollution. noise pollution and chemical pollution"
7,MID-TERM ASSESSMENT,MID-TERM ASSESSMENT
8-9,First Aid,By the end of the class pupils should be able to i. Discribe the meaning of first aid ii. Describe the duties of a first aider iii. Explain the qualities of a first aidcr
10,REVISON,REVISON
11,REVISION,REVISION
12,EXAMINATION,EXAMINATION
