0,1,2
LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS
Physical and Health Education Scheme of Work for Primary/Basic 5,Physical and Health Education Scheme of Work for Primary/Basic 5,Physical and Health Education Scheme of Work for Primary/Basic 5
,CLASS,Primary/Basic 5
,SUBJECT,Physical and Health Education
,TERM,First Term
WEEK,TOPICS,Learning Objectives
1,REDINESS TEST/REVISION,
2,Creativity Rhythemic,"By the end of the lesson, pupils should be able to: i. explain rythemic activities ii. mention types of rhyrhemic activity (marching, galloping,hopping, singing, dancing)etc iii. demonstrate rhythemic activities (marching, galloping,hopping, singing, dancing)etc"
3,Creativity Rhythemic,"By the end of the lesson, pupils should be able to: i. discuss meaning of rhythemic activities ii. list type of rhythemic activities (marching, galloping,hopping, singing, dancing)etc iii. demonstrate rhythemic activies (marching, galloping,hopping, singing, dancing) etc"
4,Athletics- Field events (Long jump),"By the end of the lesson, Pupils should be able to: i. demonstrate jumping activities, e.g. jump and reach, jump and touch, jumping on the spot ii. discuss the concept of long jump. iii. list basic phases in long jump events (approach run, take-off, flight, landing, recovery) iv. demonstrate long jump phases on the field"
5,Athletics- Field events (High jump),"By the end of the lesson, pupils should be able to: i. demonstrate jumping activities e.g. jump and reach, jump and touch, jumping on the spot ii. discuss the concept of high jump. iii. list basic phases in long jump events (approach run, take-off, flight, landing, recovery) iv. demonstrate high jump phases on the field"
6,Personnal Healthcare,"By the end of the lesson, pupils should be able to: i. identify materials needed for personnal health care ii. explain meaning of personnal healthcare iii. justify the importance of personnal health care iv. compare between clean teeth and dirty teeth v. investigate the causes and prevention of dental problem"
7,MID TERM BREAK,MID TERM BREAK
8,Volleyball Game,"By the end of the lesson, pupils should be able to: i. state the different means of dispossing waste ii. develop a definition of recycling iii. mention the advantages of recycling iv. document their own ideas of recycling"
9,Basketball game,"By the end of the lesson, Pupils should be able to: i. Discuss the history of basketball ii. differentiate between facilities and equipment in basketball games iii. demonstrates basic skills in basketball games"
10,Football game,"By the end of the lesson, Pupils should be able to: i. compare between facilities and equipment in football and other ball games ii. demonstrates basic skills in football game iii. investigate the advantages playing football game iv. recommend the safety measure in playing football game iv. discuss brief history of football"
11,Revision,
12,REVISION,REVISION
13,EXAMINATION,EXAMINATION
