0,1,2
,CLASS,Primary/Basic 1
,SUBJECT,Yoruba
,TERM,Second Term
OSE,ORI ORO,ERONGBA
1 Igba kini Igba keji Igba keta,Edë Așâ Literćșo Idănwô Ikini kăâbo Si săâ keji,Ni òpin idanilekoo akékò yò Ie: i. Dăhun ibere abe eko ii. Se âtunșe abe eko
2 Igba kini Igba keji Igba keta,Edô Âsâ Litirćșo Âgbćyëwô lșe săâ Kinni,Ni òpin idanilekoo akékò yò Ie; i. Yę âwon eko săâ kinni wô dăadăa ii. Dăhun ibćere abe âyewô năâ
3Ede,Didăruko nnkan âyikă ilć-iwć,Ni òpin idanilekoo akékò yò Ie; i. Dăruko âwon nnkan âyikă ile-iwć ni ôkôôkan ii. Șâlâyć iwulô âwon nnkan ti wăn dăruko ni sise-n-tele iii. Dăhun ibere abę ëko naa
Asa,Orłsnrisi Eran ôsin ni ile Yorubă,"Ni òpin idanilekoo akékò yò Ie; i. Sâlâyć ohun tie, ran Ôsin jë ii. Dăruko âwon orișiirisi ęran Ôsîn ti ó wâ ninu ilć âti âynka’ wa iii. Se âpëjuwe bi ôkôôkan șe maa n ri"
"III, Litłrëșq",Kiko orin akóniniwâ ni ëdë Yorubă,Ni òpin idanilekoo akékò yò Ie; i. ko orin akoniniwâ ni ëde Yoruba’ ii. Sâlâyć pâtâki kiko irufe orin yii iii. Dahun ibćërč abe eko
4Ede,Itęsiwaju ninu kikâ Alifăbëëti ëdë Yorubă H-Q,Ni òpin idanilekoo akékò yò Ie; i. Ka leta alifâbëti ëdë Yoruba’ lăti A-GB ii. Pe letâ ălifăbâti pëlu âwon oro H-Q gëgë bi a ti șëda’ iii. Da âwon ălifabeëti kookan mo nipa fifi wăn pe âwôrăn ti ó ro ma iv. Dăhun ibëerë abć čkó năâ
ASA,Ounję Ile wa,Ni òpin idanilekoo akékò yò Ie: i. Daruko awon ounje ile wa ii. Salaye iwulo ounje kokan iii. So ilu ti ounje onje kokan ti a daruko
Lit,Ewi kika ni ede yoruba,Ni òpin idanilekoo akékò yò Ie; i. Ka Ewi Ibowofăgbă ii. Ka ewi năa bi o se ye iii. Fa koko inu ewi na yoo iv. Dăhun ibëerë abć čkó năâ
5Ede,Orikå låti 11-20,Ni òpin idanilekoo akékò yò Ie; i. Ka orikä läti ookan – ééwåå (1 -10) gégé bi irånti ii. Ka orikå låti ookanlåå Ogun (11-120) gégé bi itesiwaju iii. Lo idi gégé onkå fun äläyé
Asa,Eré Idårayå,Ni òpin idanilekoo akékò yò Ie; i. Dåruko orisirisi äwon eré idårayå ii. Ko bi eré idåraya se n’ wäyé iii. Ko orin eré idåraya’ bi eré bé n’ se wäyé
Lit,Alo pipa ni ile Yorüba’,Ni òpin idanilekoo akékò yò Ie; i. So Ohun ti ålo pipa jé ii. Dåruko orisi onä méji ti o pin si iii. Pa oniruru ålo åpamö iv. Dåhun lbééré abé éko
6Edé,Älifäbééti édé Yorübå kiti P-Y,Ni òpin idanilekoo akékò yò Ie; i. ka äwon Älifåbéeti édé Yorübå låti P-Y gégé bi Itesiwåju ii. Pe åwon Iro koökan ni sise-n-tele iii. Dåhün lbééré tiobåjeyo ni abé eko
Äså,lwä omoluäbi,Ni òpin idanilekoo akékò yò Ie; i. So ni påto Ohun ti lwå omoluabi jé ii. Sålåyé ni soki inifååni ti o wa fun wa omoluäbi ni hihü. iii. Dåhün lbééré abé eko.
Litireso,Orin kiko,Ni òpin idanilekoo akékò yò Ie; i. ko Orin to ro mo omo rere ii. Jo si orin kookan tiwan ba ko iii. Se ise ti o bå jeyo låbé éké
7,"Idånrawö Fun Idaji Sää lori Edé, Äså ati Literééso",Ni òpin idanilekoo akékò yò Ie; i. Dåhün ibééré abé eké nåä pelu atunse tunse ti oye
8Ede,Äliffåbééfi låti A-Y,Ni òpin idanilekoo akékò yò Ie; i. ko Äliffåbéeti édé Yorubå ni létå nlå ati kékeré ii. Da létä nlå ma yätö si kékeré iii. Pe létå koökan pelu äwörån ti o båmu.
Asa,Ojuse Ebi /ldilé,Ni òpin idanilekoo akékò yò Ie; i. Sälåyé eni ti olori ebi jé ii. Säläyé ojuse omo si obi åti äwüjo iii. Dåhün ibééré abé eko
Lit,Orin kiko Ióri Obí,Ni òpin idanilekoo akékò yò Ie; i. korin orĺsiirishi Iori ôbi ii. So pataki orin tí won ko iii. Dahun ibére tí o wa labé eko
