0,1,2
,CLASS,Primary/Basic 3
,SUBJECT,Cultural and Creative Art
,TERM,Third Term
WEEK,TOPICS,Learning Objectives
1,Creating a drama sketch from a story.,"By the end the lesson, pupils should be able to: i. present a sh0rt and interesting story on any of the given themes: Teamwork, Patrotism and Dignity of Labour, ii. write/screen a short play, using any of the given theme."
2-3,Types of lines. Uses of Lines.,"By the end ofthe lesson, pupils should be able to; i.describe what lines are, ii. outline the names and uses of different lines„ iii. draw the lines, iv. distinguish between the different types of lines, v. state the uses ofthe lines."
4,Musical notes,"By the end of the lesson, pupils should be able to: i. recall musical note definition, ii. identify the different musical notes, iii. match each of the notes with its value."
5,Musical notes. values and rest signs.,"By the end of the lesson, students will be able to: i. recall what music and musical notes are, ii. expatiate on musical notes and their values, iii. analyse rest signs are and their equivalence with each note."
6,Drawing,"By the end of the lesson, students should be able to: i. explain the meaning of drawing, ii. list the different types of drawing, iii. distinguish the uses of drawing."
7,MID-TERM/OPENDAY,MID-TERM/OPENDAY
8-9,Methods of moulding objects,"By the end of the lesson, students will be able to: i. summarize the meaning of modelling ii. apply the methods of moulding correctly, iii. mould objects, like cup, pot, bucket, etc On their own."
10,Introduction to recorder playing.,"By the end ofthe lesson, should be able to: i. Classify the Recorder correctly, among the western musical instruments. (woodwind), ii. name the different parts ofthe recorder, iii. identify the letter name of notes of the recorder, iv. match the notes with the letters of the lines and spaces of the staff."
11,"Fashion accessories, singing songs about wearing cloths that are morally beautiful","By the end of the lesson, students should be able to: i. define fashion accessories with examples ii. outline the different types of fashion accessories e.g beaded jewelry, comb, walking stick etc. iii. analyze the importance of accesories to man"
12,REVISION,REVISION
13,EXAMINATION,EXAMINATION
