0,1,2
,CLASS,Primary/Basic 1
,SUBJECT,Yoruba
,TERM,Third Term
OSE,ORI ORO,E’RO’NGBA’
"1, igbâ Kînni igbâ Kejl igba Keta",Ede Așa Litireșo Îdănwo ikîni kăâbo si sââ keji,"Ni òpin idanilekoo akékò yò Ie i. Dahun ibeere abe eko ii. Șe âtunșe abe ek0,"
"2, igbâ Kinni igbâ Kejł igba Keta",Ede Asa Litireso Âgbeyewo Ise’ Sâ Kinnł,Ni òpin idanilekoo akékò yò Ie i. Ye awon ęko săâ kinnî wo dadda ii. Dăhun ibere abe’ âyewo na’
3Ede,Sișe Nnkan,Ni òpin idanilekoo akékò yò Ie i. Gbo ohun ti Oluko ba’ ni ko se ii. So ohun ti o gbo Ieralera’ iii. Șô nnîkan ti Olóko ba’ ni kose
Asa,Itęsiwaju kłni,Ni òpin idanilekoo akékò yò Ie i. So bi atin’ kini ni; orisirisi âkoko to wâ. ii. So pâtâkî Ikîni ni âwuję ile Yorubă iii. Da’hun Ibeere ti oję yo ni abe- eko
Lit,Orin era Idaraya,Ni òpin idanilekoo akékò yò Ie i. ko ara won jo si abe igi Ôrombo’ fun igbaradi orin kiko ii. JÓ si orin ti won n’ ko pelu âtewo iii. Dăhun Ibeere abe eko
4Ede,Siso oro onilęta pô,Ni òpin idanilekoo akékò yò Ie i. So Ôro onîletâ meta po nipa ti tele llânâ F+K+F ii. KO oniruuru âpęęrę oro oniletâ meta jăde. iii. Dăhun ibëre abe’ eko năâ
Asa,Orisirisi eso ile wa,Ni òpin idanilekoo akékò yò Ie i. Dăruko awon eso ilë wa ii. So patâki eso kookan iii. Pin won si Ôwoowo iv. Dahun Ibere abc eko
Lit,Ako Pupa,Ni òpin idanilekoo akékò yò Ie i. Pa oniruuru alo apamö ati apagbé ii. wa idahon si åwon alo köökan ti won ba’ pa iii. Dăhun ibëre abe’ eko năâ
5Ede,Isorongbesi laarin Oluko ati akekoo,Ni òpin idanilekoo akékò yò Ie i. Bééré ibéeré Iååårin Olükö si Akéköö ii. Se iberé Iåårin akéköö si Oluko iii. Dåhün itåkuroso ti o wåyé laaarin awon méjééji
Asa,Imototo: Ara Fifö,Ni òpin idanilekoo akékò yò Ie i. So bi a ti se 1e fo enu wa ii. Sålåyé åwon oniruuru önå ti a Ié gbå fo enu wä ati påtåki fifo enu iii. Dåråko åwon ohun elo fifo enu.
Lit,Orin kiko,Ni òpin idanilekoo akékò yò Ie; i. ko orin kan påto ii. Fa koko’ inu orin nää iii. Gba läåyé akéköö Iäti ko orin nää däadåa iv. Dåhün ibééré abé ök6
6Ede,önka Iåti ookanlélogun — ogoji (21-40,Ni òpin idanilekoo akékò yò Ie i. ka önkå Iäti ookanlélogun-Ogoji (21-40) nipa sise åfikun åti åyokurö ii. Se åmulo eele ati eédin iii. Ka onka dåadaa Iäti Ié da’ a mö
Asa,Ijo inu ose,Ni òpin idanilekoo akékò yò Ie; i. So ni päto ltån ti rö mö ojo kookan ii. Pe åwon ojö nåå lokookan iii. Fi ojo kookan korin ni teletele
Lit,Ewi,Ni Opin danilekpp. Ak9kQQ Yoo Le; ka ewi nää dåadåa i. Ka ewi na daada ii. Pe örö inu ewi nåä jade yékéyéké iii. Fa koko inu ewi na yo
7Ede,Awon awo olorisirisi,Ni òpin idanilekoo akékò yò Ie: i. Dåruko oniruuru’ Äwö ti o Wå ii. Se iwulo åwon åwo kookan iii. se kikun åwon åwö nåå sinu iwe wan
Asa,Iwa rere,Ni òpin idanilekoo akékò yò Ie; i. Sålåye’ åwon iwåti ko fi iwa rere hän ii. Söro lori åbajåde ailehuwå rere abi ewu to wå Iori re iii.Darüko awon iwä ti kö tö läti hü. iv. Dähun ibeere abe ekö
Lit,Ewi Iori ise ni öogün isé,Ni òpin idanilekoo akékò yòo Ie; i. Ka ewi nåå däadåa pélu édé to jinna ii. Fi ede ewi gbe e jade iii. Ka koko inu ewi naa jade
,"Idanrawo Fun idali Såå Iori Ede, Äsa åti Litfrésö",Ni òpin idanilekoo akékò yòo Ie; i. Dåhun ibeere abé ékö nåå pelü atunse ti o ye
8Ede,Apeko ni ede Yoruba,Ni òpin idanilekoo akékò yòo Ie; i. Gbo oro ti a pe jåde ii. Ko oro ti wan gbo sile pelu ede to jinna iii. Se atunse lori asise ti won ba se
