0,1,2
LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS
Security Education Scheme of Work for Primary/Basic 4,Security Education Scheme of Work for Primary/Basic 4,Security Education Scheme of Work for Primary/Basic 4
,CLASS,Primary/Basic 4
,SUBJECTS,Security Education
,TERM,First Term
WEEK,TOPICS,Learning Objectives
1,"-Introduction to Neighborhood security, -Meaning of Neighborhood.","By the end of the lesson, pupils should be able to: (i) define neighborhood, (ii) identify things that make up a neighborhood."
2,Types of Neighborhood,"By the end of the lesson, pupils should be able to: (i) group the types of neighborhood e g. Villages, street, compound, school, areas, homes, churches, mosques etc, (ii) identify name of street in their neighborhood."
3,Types of Neighborhood (Contd.),"By the end of the lesson, pupils should be able to: (i) classify the types of neighborhood they have e.g. people living next door, people whose activities will affect us, school mates etc. (ii) differentiate the good neighborhood from the bad ones."
4,Strangers in the neighborhood,"By the end of the lesson pupils should be able to: (i)describe a stranger, (ii) examine the precautionary measures on personal security, (iii) identify strangers in their neighborhood e.g. people loitering about in the neighborhood, scavengers, hawkers etc."
5,Suspicious movement,"By the end of the lesson, pupils should be able to: (i) describe suspicious movement, (ii) examine people walking about in the neighborhood aimlessly."
6,Types of suspicious movement,"By the end of the lesson, pupils should be able to: (i) identify activities that can be considered as suspicious movement e.g. peeping into other people window etc, (ii) roaming about"
7,MID TERM BREAK,MID TERM BREAK
8,Reporting suspicious movements,"By the end of the lesson, pupils should be able to: (i) identify who to report suspicious movements to e.g. parents, adult, teacher etc, (ii) outline ways to raise alarm over suspicious movements."
9,Consequences of not reporting suspicious activities/movement,"By the end of the lesson, pupils should be able to: (i) write the consequences of failure to report suspicious movements. (ii) mention the right person to report to, e.g. Uniform men or security men"
10,Revision,Revision
11,Revision,Revision
12-13,REVISION & EXAMINATION,REVISION & EXAMINATION
