0,1,2
LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEME OF WORK FOR PRIMARY SCHOOLS,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEME OF WORK FOR PRIMARY SCHOOLS,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEME OF WORK FOR PRIMARY SCHOOLS
History Scheme of Work for Primary/Basic 5,History Scheme of Work for Primary/Basic 5,History Scheme of Work for Primary/Basic 5
,CLASS,Primary/Basic 5
,SUBJECT,History
,TERM,First Term
WEEK,TOPICS,Learning Objectives
1,REVISION,General provision of the works of primary four
2-3,"BRITISH RULE IN NIGERIA -Who are the British? -Where is Nigeria? -Who are the Europeans? -The various European countries that tried to occupy Nigeria, Portugal, France, Germany, Britain, e.t.c. -Reasons for British rule in Nigeria -Impacts of British rule in Nigeria","By the end of the lesson, pupils should be able to: 1. Explain who the British are; 2. Give the location of Nigeria; 3. Explain who the Europeans are; 4. Mention the various European countries that attempted to occupy Nigeria; 5. Examine the reasons for British rule in Nigeia; 6. Relate the impacts of British rule in Nigeria"
4-5,"BRITISH RULE IN NIGERIA 2 -First place the British occupied in Nigeria various phases of British occupation of Nigeria. -The ways British occupied Nigeria -Relate activities of the Brifish Royal Niger Company of Nigeria. -The revocation of Royal Niger Company is Charter on 31st December, 1899 -The Founder of the Royal Niger Company","By the end of the lesson, pupils should be able to: 1. Mention the first place the Britsh occupied in Nigeria; 2. Discuss the phases of Britsh occupation of Nigeria 3. Analyze the ways the British occupied Nigeria; 4. Analyze the Founder of he British Royal Niger Company; 5. Examine the activities of the British Royal Niger Company of Nigeria 6- Give he reasons why the Royal Niger Companys Charter was revoked on 31st December, 1899"
6,BRITISH RULE IN NIGERIA 3- AMALGAMATION OF NIGERIA -Meaning of Amalgamation -Who amalgamated Nigeria? -Reasons for Nigeria’s Amalgamation -Various phases of Nigeria’s amalgamation -The positive and negative effects of British amalgamation of Nigeria,"By the end of fie lesson, pupils should be able to: 1. Give the meaning of amalgamation; 2. Mention who amalgamated Nigeria; 3. Discuss the reasons responsible for the amalgamation of Nigeria; 4. Relate the various phases of Nigeria’s amalgamation; 5. Examine the positive and negative effects of the effects of British amalgamation of Nigeria."
7,MID TERM BREAK,MID TERM BREAK
8-9,"Meaning of a constitution. Various British constitutional reforms in Nigeria – Nigeria Council 1914 – Lord Lugard, Hugh Clifford 1922 -Elective principle, Arthur Richard’s 1946 Regionalism e.t.c. -Reasons for the introduction and effects of these constitutions on Nigeria gradual independence","By the end of fie lesson, pupils should be able to: 1. Define a constitution 2. List the various British constitutional reforms in Nigeria; 3, Relate the reasons for the introduction of these constitutions; 4. Examine the effects of these constitutional reforms on Nigeria’s gradual independence."
10-11,"BRITISH RULE IN NIGERIA TRADITIONAL NATIONALISM AND RESISTANCES -Meaning of nationalism. -Forms of nationalism. -Notable traditional nationalists in Nigeria i.e. Kosoko of Lagos, Jaja of Opobo, Nana Olomu llshekiri, Sultan Attahiru of Sokoto, Madam Tinubu, e.t.c. -Reasons for the growth of traditional nationalism in Nigeria. -The effects of traditional nationalism on Nigeria","By the end of the lesson, pupils should be able to: 1. Give the meaning of nationalism,’ 2. State the various foms of nationalism; 3. Mention notable traditional nationalists in Nigeria; 4. Relate the reasons for the growth of traditional nationalism in Nigeria; 5. Epmine the effects of traditional nationalism on Nigeria"
12,REVISION,General revision of all the work ofthe term.
13,EXAMINATION,EXAMINATION
