0,1,2
,CLASS,Primary/Basic 6
,SUBJECT,Cultural and Creative Art
,TERM,Third Term
WEEK,TOPICS,Learning Objectives
1,Reddiness test/Element of design,"By the end of the lesson, should be able to: i. pupils examine the elements of design. ii. list the elements of design. iii. create an element of design"
2,Definition of Music,"By the end Of the lesson, pupils should be able to: i. explain music and noise, ii. discover sources of music; iii. differentiate between noise and musiæ"
3,Definition of Drama and Theatre,"By the end of the lesson, pupils should be able to: i. explain the meaning of Theatre ii. explain the meaning of Drama; iii. differenjate between drama and"
4,Definition of Dance,"By the end of the lesson, pupils should be able to: i. explain dance; ii. examine the distinguishing features of various Traditional dances iii. perform a dance for a particular occasion in the school."
5,Imporsonation,"By the end of the lesson, pupils should be able to: i. discuss Impersonation; ii. explain the difference between impersonation and acting; iii. unpersonate a character."
6,Mode of Greeting,"By the end of the lesson, pupils should be able to: i. greet in the major Nigerian Languages using time of the day ii. mention when and occasion to greet iii. discuss the benefit of greeting"
7,TEST/MID-TERM/OPEN DAY,TEST/MID-TERM/OPEN DAY
8-11,REVISION,
12-13,EXAMINATION,
