0,1,2
LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEME OF WORK FOR PRIMARY SCHOOLS,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEME OF WORK FOR PRIMARY SCHOOLS,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEME OF WORK FOR PRIMARY SCHOOLS
Civic Education Scheme of Work for Primary/Basic 6,Civic Education Scheme of Work for Primary/Basic 6,Civic Education Scheme of Work for Primary/Basic 6
,CLASS,Primary/Basic 6
,SUBJECT,Civic Education
,TERM,First Term
WEEK,TOPICS,Learning Objectives
1,Readiness test / loyalty Definition and meaning of national honors awards e -Type of national honor award,"By the end of the lesson pupils should be able to: 1. explain national honors award 2. Mention the types of national honor award, e.g ONE, CON GCON etc 3. Describe the types of national honor award"
2,"Lack, care and moral up bringing examples of peoples rewarded with national honor","By the end of the lesson pupils should be able to: i. Mention at least five national heroes and heroine e.g Chief Obafemi Awolowo, Dr. Nnamdi Azikwe, Albert Macaulay etc ii. Arrange the pictures of national honor award receipt in a chart. iii. Identify the award received by each"
3,Reasons for national honor award,"By the end of the lesson, pupils should be able to: i. Identify reason for nation honors award Reward for hard work, obedience, patriotism, encouragement ii. Discuss reason for national honor award iii. Demonstrate attitude/values allowing people to receive award"
4,Concepts of valuing Nigerian goods,By the end of the lesson pupils should be able to: i. Explain the concept of valuing Nigeria goods ii. Identify some Nigeria made goods iii. Analyze the worth value of Nigeria goods
5,Reason why we should value Nigerian goods (b) examples of Nigerian goods,"By the end of the lesson pupils should be able to: i. Identify reason we should value Nigeria goods ii. Give at least five examples of Nigeria goods e.g groundnut oil, palm oil, cocoa, petrol,cement. iii. Justify the preference of Nigeria goods to imported goods"
6,Benefit of patronizing Nigerian goods,By the end of the lesson pupils should be able to: 1. Identify at least four benefit of patronizing made in Nigerian goods 2. Analyze the benefit of patronizing Nigerian goods.
7,MID TERM BREAK,
8,Reason why made in Nigerian goods suffer low percentage,"By the end of the lesson pupils should be able to: 1. Mention at least three reason why made in Nigerian goods suffer low patronage e g government policy, fake product, exchange rate 2. explan the reason why made in Nigerian goods suffer low patronage"
9,Problems in develping positive attitude towards made in Nigeria product,"By the end of the lesson, pupils should be able to i. identify problems of developing positive attitude towards made in Nigeria goods ii. explain problmes of developing made in Nigeria goods iii. demonstrate some of the positive attitude"
10,How to encourage made in Nigeria goods,"By the end of the lesson, pupils should be able to i. suggest ways through which the purchase of made in Nigeria goods can be encouraged ii. compare the prices of Nigerian made goods and the imported goods"
11,Revision,
12,Revision/Examination,Revision/Examination
