0,1,2
"LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLSSocial Studies Scheme of Work for Primary/Basic 5 CLASSPrimary/Basic 5 SUBJECTSocial Studies TERMFirst TermWEEKTOPICSLearning Objectives1Other people in the family’ – Other members of family and how they relate to us -Obligations of the members of the familyBy the end of the lesson pupils should be able to: 1. Name other members of our family 2. Explain mw they related to us 3. List obligations of the ræmbers of the family2Unity in cultural diversity -meaning of culture diversity and unity -culture as a people’s way of life -customs and tradition -chargeable customsBy the end of the lesson pupils should be able to: 1. Define culture diversity and unity 2- Describes culture as people’s way of life 3. Explain customs and taditjon 4. Name retainable custom3Process of changing culture and difference – Reason for change – Process of changing culture – Nigerian language – Using maps to indicate languageBy the end of the lesson pupils should be able to,’ i. Outline reasons for changing cultures ii. Analyze maps to indicate languages4Marriage customs and practices -Steps in selecting marriage partners -Purpose of writing or visiting -Values that are relevant to selection of marriage partnersBy tho end of tho lesson pupils should be able to: i. Describe steps in selecting marriage partners ii. Explain purpose of writing or visiting iii. Outline values that are relevant to selection of marriage partners5Roles played by families -Consequence – The roles of families and other providing useful advice -Unhealthy marriage practice (consequences)By the end of the lesson pupils should be able to: i. Lists the roles of families ii. Describes how the roe is being played by the families iii. Identify unhealthy mariage practice6Responsible parenthood -Who are parents -Duties of parents – Characteristic of responsible parenthoodBy the end of the lesson pupils should be able to: 1. Explain who are parents 2. Describe duties of parents 3.Outlines characteristics of responsible parenthood7MID TERM BREAK8Problems of parenthood STIS/STDS/AIDS -Meaning of STDS/HIV/AIDS -Types of STDS -Effects of STDS/HIV/AIDS – Responsible sexual behaviour – Values relevantBy the end of the lesson pupils should be able to: 1.Define STDS/HIV/AIDS 2.List types of STDS 3.Identify effects of STD/HIV/AIDS 4. Describe responsible sexual behaviour 5. Explain values relevant9Traditional marriage – Meaning of traditional marriage – Modem marriage – Main features of traditional marriage – Values of traditional marriageBy the end of the lesson pupils should be able to: 1. Define traditional marriage 2. Describe modern marriage 3. Lists main factors of traditional marriage 4. Outline values of traditional marriage10Modern Marriage -Main feature of Christian marriage -Values of Christian, Islamic and marriages by ordenance -Main features of Muslim marriage -Main features of marriage by ordinanceBy the end of the lesson pupils should be able to: 1. examine main features of christian marriage 2. identify values of christian and islamic marriage 3. outline main features of muslim marriage 4. list main features of marriage by ordinance11Religion and Social Belief -Concept of religion -Types of religion -Religion Intellorance -Problems of religion intelloranceBy the end of the lesson pupils should be able to: 1. explain concept of religion 2. list types of religious intelorance 3. describe religious intelorance 4. outline problem of religious intelorance12-13REVISION/EXAMINATION","LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLSSocial Studies Scheme of Work for Primary/Basic 5 CLASSPrimary/Basic 5 SUBJECTSocial Studies TERMFirst TermWEEKTOPICSLearning Objectives1Other people in the family’ – Other members of family and how they relate to us -Obligations of the members of the familyBy the end of the lesson pupils should be able to: 1. Name other members of our family 2. Explain mw they related to us 3. List obligations of the ræmbers of the family2Unity in cultural diversity -meaning of culture diversity and unity -culture as a people’s way of life -customs and tradition -chargeable customsBy the end of the lesson pupils should be able to: 1. Define culture diversity and unity 2- Describes culture as people’s way of life 3. Explain customs and taditjon 4. Name retainable custom3Process of changing culture and difference – Reason for change – Process of changing culture – Nigerian language – Using maps to indicate languageBy the end of the lesson pupils should be able to,’ i. Outline reasons for changing cultures ii. Analyze maps to indicate languages4Marriage customs and practices -Steps in selecting marriage partners -Purpose of writing or visiting -Values that are relevant to selection of marriage partnersBy tho end of tho lesson pupils should be able to: i. Describe steps in selecting marriage partners ii. Explain purpose of writing or visiting iii. Outline values that are relevant to selection of marriage partners5Roles played by families -Consequence – The roles of families and other providing useful advice -Unhealthy marriage practice (consequences)By the end of the lesson pupils should be able to: i. Lists the roles of families ii. Describes how the roe is being played by the families iii. Identify unhealthy mariage practice6Responsible parenthood -Who are parents -Duties of parents – Characteristic of responsible parenthoodBy the end of the lesson pupils should be able to: 1. Explain who are parents 2. Describe duties of parents 3.Outlines characteristics of responsible parenthood7MID TERM BREAK8Problems of parenthood STIS/STDS/AIDS -Meaning of STDS/HIV/AIDS -Types of STDS -Effects of STDS/HIV/AIDS – Responsible sexual behaviour – Values relevantBy the end of the lesson pupils should be able to: 1.Define STDS/HIV/AIDS 2.List types of STDS 3.Identify effects of STD/HIV/AIDS 4. Describe responsible sexual behaviour 5. Explain values relevant9Traditional marriage – Meaning of traditional marriage – Modem marriage – Main features of traditional marriage – Values of traditional marriageBy the end of the lesson pupils should be able to: 1. Define traditional marriage 2. Describe modern marriage 3. Lists main factors of traditional marriage 4. Outline values of traditional marriage10Modern Marriage -Main feature of Christian marriage -Values of Christian, Islamic and marriages by ordenance -Main features of Muslim marriage -Main features of marriage by ordinanceBy the end of the lesson pupils should be able to: 1. examine main features of christian marriage 2. identify values of christian and islamic marriage 3. outline main features of muslim marriage 4. list main features of marriage by ordinance11Religion and Social Belief -Concept of religion -Types of religion -Religion Intellorance -Problems of religion intelloranceBy the end of the lesson pupils should be able to: 1. explain concept of religion 2. list types of religious intelorance 3. describe religious intelorance 4. outline problem of religious intelorance12-13REVISION/EXAMINATION","LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLSSocial Studies Scheme of Work for Primary/Basic 5 CLASSPrimary/Basic 5 SUBJECTSocial Studies TERMFirst TermWEEKTOPICSLearning Objectives1Other people in the family’ – Other members of family and how they relate to us -Obligations of the members of the familyBy the end of the lesson pupils should be able to: 1. Name other members of our family 2. Explain mw they related to us 3. List obligations of the ræmbers of the family2Unity in cultural diversity -meaning of culture diversity and unity -culture as a people’s way of life -customs and tradition -chargeable customsBy the end of the lesson pupils should be able to: 1. Define culture diversity and unity 2- Describes culture as people’s way of life 3. Explain customs and taditjon 4. Name retainable custom3Process of changing culture and difference – Reason for change – Process of changing culture – Nigerian language – Using maps to indicate languageBy the end of the lesson pupils should be able to,’ i. Outline reasons for changing cultures ii. Analyze maps to indicate languages4Marriage customs and practices -Steps in selecting marriage partners -Purpose of writing or visiting -Values that are relevant to selection of marriage partnersBy tho end of tho lesson pupils should be able to: i. Describe steps in selecting marriage partners ii. Explain purpose of writing or visiting iii. Outline values that are relevant to selection of marriage partners5Roles played by families -Consequence – The roles of families and other providing useful advice -Unhealthy marriage practice (consequences)By the end of the lesson pupils should be able to: i. Lists the roles of families ii. Describes how the roe is being played by the families iii. Identify unhealthy mariage practice6Responsible parenthood -Who are parents -Duties of parents – Characteristic of responsible parenthoodBy the end of the lesson pupils should be able to: 1. Explain who are parents 2. Describe duties of parents 3.Outlines characteristics of responsible parenthood7MID TERM BREAK8Problems of parenthood STIS/STDS/AIDS -Meaning of STDS/HIV/AIDS -Types of STDS -Effects of STDS/HIV/AIDS – Responsible sexual behaviour – Values relevantBy the end of the lesson pupils should be able to: 1.Define STDS/HIV/AIDS 2.List types of STDS 3.Identify effects of STD/HIV/AIDS 4. Describe responsible sexual behaviour 5. Explain values relevant9Traditional marriage – Meaning of traditional marriage – Modem marriage – Main features of traditional marriage – Values of traditional marriageBy the end of the lesson pupils should be able to: 1. Define traditional marriage 2. Describe modern marriage 3. Lists main factors of traditional marriage 4. Outline values of traditional marriage10Modern Marriage -Main feature of Christian marriage -Values of Christian, Islamic and marriages by ordenance -Main features of Muslim marriage -Main features of marriage by ordinanceBy the end of the lesson pupils should be able to: 1. examine main features of christian marriage 2. identify values of christian and islamic marriage 3. outline main features of muslim marriage 4. list main features of marriage by ordinance11Religion and Social Belief -Concept of religion -Types of religion -Religion Intellorance -Problems of religion intelloranceBy the end of the lesson pupils should be able to: 1. explain concept of religion 2. list types of religious intelorance 3. describe religious intelorance 4. outline problem of religious intelorance12-13REVISION/EXAMINATION"
LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS
Social Studies Scheme of Work for Primary/Basic 5,Social Studies Scheme of Work for Primary/Basic 5,Social Studies Scheme of Work for Primary/Basic 5
,CLASS,Primary/Basic 5
,SUBJECT,Social Studies
,TERM,First Term
WEEK,TOPICS,Learning Objectives
1,Other people in the family’ – Other members of family and how they relate to us -Obligations of the members of the family,By the end of the lesson pupils should be able to: 1. Name other members of our family 2. Explain mw they related to us 3. List obligations of the ræmbers of the family
2,Unity in cultural diversity -meaning of culture diversity and unity -culture as a people’s way of life -customs and tradition -chargeable customs,By the end of the lesson pupils should be able to: 1. Define culture diversity and unity 2- Describes culture as people’s way of life 3. Explain customs and taditjon 4. Name retainable custom
3,Process of changing culture and difference – Reason for change – Process of changing culture – Nigerian language – Using maps to indicate language,"By the end of the lesson pupils should be able to,’ i. Outline reasons for changing cultures ii. Analyze maps to indicate languages"
