0,1,2
LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS
Cultural and Creative Art Scheme of Work for Primary/Basic 4,Cultural and Creative Art Scheme of Work for Primary/Basic 4,Cultural and Creative Art Scheme of Work for Primary/Basic 4
,CLASS,Primary/Basic 4
,SUBJECT,Cultural and Creative Art
,TERM,First Term
WEEK,TOPICS,Learning Objectives
1,Readiness test -Meaning of Arts -Origin of arts -Uses of Arts.,"By the end of the lesson, pupils should be able to: i. explain the meaning of art with examples, ii, trace the origin of arts, outline and explain the iii. uses of arts."
2,Definition of -Music -Sound. -Noise,"By the end of the lesson, pupils should be able to: i. define the meaning of Music and sound, ii. enumerate sources of music iif. distinguish between noise sound and music sound."
3,Definition of Drama and theatre.,"By the end of the lesson, pupils shoufd be able to: i. define drama and theatre, ii. differentiate between drama and theatre. iii. List people that are involve in drama and theatre performance."
4,Definition of Dance,"By the end of (he lesson, pupils should be able to: i. explain the meaning of dance, ii. distinguish features of various material used in the traditional dance in Nigerian culture. iii. perform a short traditional dance of any culture in Nigeria."
5,Classification of Art -Nigerian art works,"By the end of the lesson, pupils should be able to: i. Name some Nigerian ad works with location, ii. Classify Nigerian art works they have named, iii. Draw some art works."
6,Nigerian Musical instruments and sounds they produce,"By the end of the lesson, pupils should be able to: i. Identify,’ and name some Nigerian musical instuments pupils have seen, ii. classify Nigerian musical instrument from the video clips, iii. demonstrate how they produce sound and how they are played."
7,TESTIMID-TERWOPEN- DAY,TESTIMID-TERWOPEN- DAY
8,Elements of Drama and theatre,"By he end of he lesson, pupas should be able to: i. Identify elements of drama and tieatre, ii. List and name elements of drama and theatre, iii. Disinguish element of drama and theatre."
9,Mode of greating,"By the end of the lesson, pupils should be able to: i. identify mode of greeting in different parts of Nigeria, ii. list when occasions to gree iii. list he benefits of greeting."
10,Revision,Revision
11-12,EXAMINATION,EXAMINATION
