0,1,2
,CLASS,Primary/Basic 5
,SUBJECT,Basic Science
,TERM,Third Term
WEEK,TOPICS,Learning Objectives
1,REVISION AND READINESS TEST,
2,ACID AND BASES: -Meaning of acid and -Examples of acids and -Types of acid and bases. -Differences beåyeen acid,"By the end of the lesson, pupils should be able to: i. develop a meaning for acids and bases; ii. state some examples of acids and bases; iii. Identify types of acids and bases; iv. distinguish between acid and bases."
3,ACID AND BASES: -Materials used in making soap. -active ingredients in the local materials used in making soap. -Make soap from local materials -Uses of soap.,"By the end of the lesson, pupils should be able to: i. Explain the meaning of Soap and detergents; ii. Mention Local materials used for making soap; iii. Identify the active ingredient in the local materials used in making soap; iv. enumerate the uses of soap."
4,Basic Electricity: -Types of electricity (static and current). -Methods of generating electricity.,"By the end ofthe lesson, pupils should be able to: i. define electricity ii. identify and explain types of electricity. iii. discuss how electricity is generated. iv.discuss the importance of electricity in everyday life"
5,Basic Electricity: -Conductors and nonconductors. -Electric hit. -Uses of electricity,"By the end ofthe lesson, pupils should be able to: i. disus the meaning of conductors and non-conductors ii. explain how electricity travels from one point to the other (conductors); iii. group materials into conductors (metals) and non-conductors (woods, glass, *sic); iv. make a simple electric circuit connection."
6,Magnetism: -Properties of magnets -Uses of magnets -Making magnets,"By the end of ttE lesson, pupils should be able to: i. State the properties of magnets; ii. Group materials to magnetic and non magnetic iii. Write common applications of magnetism iv. Make and use magnets"
7,MID TERM BREAK,MID TERM BREAK
8,"BASIC MOTOR PARTS (INTERNAL): -Internal parts of motor vehide e.g air bags, seat belts, steeing, brakes, ditches, pedals, gears etc. -Functions of the intemal parts of the motor vehicle","By the end of the lesson, Pupils should be able to i. Mention the internal parts of motor vehide; ii. Identify the intemal parts of a motor vehicle; iii. discuss the basic functions of the internal art of a motor vehicle."
9,Body Image and self esteem -Concept of body image -Features of bod image -Factors affecting body image.,"By the end of the lesson, pupils should be able to: i. explain the concept of body image; ii. appreciate individual features and uniqueness; iii. enumerate the factors affecting body image."
10,"System. -Meaning of excretory system. -Organs involves in excretory system: kidneys, skin, liver, large intestine etc.","By the end of the lesson, pupils should be able to i. describe the excretory system; ii. state tho organs involves in excretory system and their functions"
11,"Meaning of rocks. -Classification of rocks according to colour, hardness, texture, etc. -List some important uses construction, beautification etc. Name some major landmark rocks in Nigeria","By the end of lesson, pupils should be able to: i. explain the rneaning of rock; ii. Identify rocks and dassify rocks; iii. enumerate the uses of rocks qnenüon some landmark rocks in Nigeia. iv. Classify landmark rocks in Nigeria."
12,REVISION,REVISION
13,EXAMINATION,EXAMINATION
