0,1,2
,CLASS,Primary/Basic 2
,SUBJECT,Physical and Health Education
,TERM,Third Term
WEEK,TOPICS,Learning Objectives
1,Health and Hygiene,"At the end of the lesson, pupils should be able to: I.Enumerate some ways of purifying water. 2-Describe some ways of purifying water."
2,Hygiene,"At the end of the lesson, pupils should be able to i. demonstrate the process of purifying water. ii.explain how they purify water at home"
3,Hygiene,"At the end of the lesson, pupils should able to -purification of hand at home"
4,Rest and sleep,"At the end of the lesson, pupils should be able to i. identify proper way of resting and sleeping"
5,Safety Education,"At the end ofthe leson, pupils should be able i. explain the meaning of safety education ii. list the safety education condition for first aid treatment."
6,First Aid,"At the end of the lesson, pupils should be able to: i. state conditions that requires first aid treatment ii. Decribe how to treat the treatment"
7,Mid-Term Assessment,Mid-Term Assessment
8-9,First Aid Continue,"At the end of the leson, pupils should be able to: i.explain more condition that requires first aid treatment"
10,Road user -Meaning of road -Road users Correct use of the road,"Pupils should be able to. i. say the meaning of roads; ii. identify different road users (e.g. cars, bicycles, motor cycle, humans, animals etc) iii how each user correctly use road;"
11,REVISION,REVISION
12,EXAMINATION,EXAMINATION
