0,1,2
,CLASS,Primary/Basic 3
,SUBJECT,Information Technology
,TERM,Third Term
WEEK,TOPICS,Learning Objectives
1,Readines test/ Revision of 2nd term work,Readines test / Revision of 2nd term work
2,Microsoft Word -Toolbar,-Identfy various tools on the tool bar and state functions
3,Microsoft Word -Tool bar,Identify various tools on the Tool bar and state their functions
4,Menu Bar,Identify various items on the Menu bar and state their functions
5,Menu Bar,Identify various items on the Menu bar and state their functions
6,Typing and saving on Microsoft word,i. Type and save a short composition about themselves
7,MID-TERM ASSESSMENT,MID-TERM ASSESSMENT
8,Typing and saving on Microsoft word,Type and save a short composition about themselves
9,Formating,-Load and save composition and format it
10,formatting,load the saved composition and format it
11,REVISION,REVISION
12,EXAMINATION,EXAMINATION
