0,1,2
,CLASS,Primary/Basic 6
,SUBJECT,History
,TERM,Second Term
WEEK,TOPICS,Learning Objectives
1,WELCOME TEST/REVIEW OF FIRST TERMS WORK,All learning objectives used during first term
2,MILLITARY RULE IN NIGERIA GENERAL IBRAHIM BABAGIDA 1985-1993,"By the end of the lesson, pupils should be able to: i. Name the military Head of State and list the major actors of the regime ii.Discuss the reasons for the emergence of General Ibrahim Babagida to power iii. List the achievements of the Babagida administration"
3,MILLITARY RULE IN NIGERIA SANNI ABACHA,"By the end of the lesson, pupils should be able to: i. Name the Military Head of State of the federal Republic of Nigeria ii.List some Major players in some regions iii. Explain the achievements of General Sani Abacha iv.Discuss the weakness of Abacha Government"
4,MILLITARY RULE IN NIGERIA ABDULSALAMI ABUBAKAR 9th June 1998-1st October 1998,"By the end of the lesson, pupils should be able to: i.Discuss the circumstances that led to his emergence as Nigeria Military Head of State ii.Examine the achievement of Gen Abdulsalami Abubakar iii.Explain the challenges that faced the government of General Abdulsalami Abubakar"
5-6,ECONOMIC HISTORY IN NIGERIA: OIL ECONOMY -(1),"By the end of the lesson, pupils should be able to: i.Exptain the meaning of Economic History ii,List the relevance of Economic History to Nigeria Development iii.Define Crude oil and Name the place and when it was first discovered In Nigeria, iv.Define Refinery v.List the crude oil and Refinery in Nigeria vi.Name the government agency in Nigeria that is responsible for the control distribution and the sale of the petroleum products"
,,
7,MID TERM BREAK,MID TERM BREAK
8-9,ECONOMIC HISTORY IN NIGERIA: OIL ECONOMY -(2) (CONTD),"By the end of the lesson, pupils should be able to: i. name the major companies in Nigeria ii. discuss the benefit of crude oil production to Nigeria economy"
10-11,ECONOMIC HISTORY OF NIGERIA OIL ECONOMY,"By the end of the lesson, pupils should be able to: i. list the by-products of crude oil ii. list what those by-products of crude oil are used for iii. explain the positive and negative of crude oil on Nigeria economy"
12,REVISION,All learning objective during the first term and second term
13,EXAMINATION,
